,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",CREIG,73,MARQ,65,L,-3.5,L,156.0,U
1,"Feb 12, 2020",MARQ,71,VILLA,72,L,-6.0,W,144.0,U
2,"Feb 9, 2020",BUTLR,57,MARQ,76,W,-4.0,W,139.5,U
3,"Feb 1, 2020",DPAUL,72,MARQ,76,W,-7.5,L,149.0,U
4,"Jan 29, 2020",MARQ,84,XAVIR,82,W,-2.0,W,143.0,O
5,"Jan 24, 2020",MARQ,85,BUTLR,89,L,-6.0,W,135.5,O
6,"Jan 21, 2020",STJON,68,MARQ,82,W,-8.0,W,147.5,O
7,"Jan 18, 2020",MARQ,84,GTOWN,80,W,-4.0,W,156.0,O
8,"Jan 15, 2020",XAVIR,65,MARQ,85,W,-3.5,W,144.5,O
9,"Jan 11, 2020",MARQ,55,SETON,69,L,-5.5,L,145.5,U
10,"Jan 7, 2020",PROV,81,MARQ,80,L,-5.5,L,144.5,O
11,"Jan 4, 2020",VILLA,60,MARQ,71,W,-1.5,W,150.0,U
12,"Jan 1, 2020",MARQ,75,CREIG,92,L,-4.0,L,152.5,O
13,"Dec 28, 2019",C.ARK,54,MARQ,106,W,-25.0,W,157.5,O
14,"Dec 20, 2019",ND.ST,68,MARQ,82,W,-12.5,W,142.0,O
15,"Dec 17, 2019",GRAMB,72,MARQ,93,W,-22.5,L,147.5,O
16,"Dec 7, 2019",MARQ,73,KANST,65,W,1.0,W,133.5,O
17,"Dec 4, 2019",JAXVL,56,MARQ,75,W,-17.5,W,132.5,U
18,"Dec 1, 2019",MARYL,84,MARQ,63,L,3.5,L,148.0,U
19,"Nov 29, 2019",USC,79,MARQ,101,W,-4.5,W,141.5,O
20,"Nov 28, 2019",DAVID,63,MARQ,73,W,-3.0,W,140.5,U
21,"Nov 23, 2019",ROBMO,62,MARQ,66,W,-24.5,L,136.0,U
22,"Nov 17, 2019",MARQ,61,WISCN,77,L,-2.0,L,129.5,O
23,"Nov 13, 2019",PURDU,55,MARQ,65,W,-1.0,W,140.5,U
24,"Nov 5, 2019",LOYMD,53,MARQ,88,W,-18.0,W,151.0,U
25,"Mar 21, 2019",MURRAY,83,MARQ,64,L,-3.0,L,154.0,U
26,"Mar 15, 2019",SETON,81,MARQ,79,L,-4.5,L,142.0,O
27,"Mar 14, 2019",STJON,54,MARQ,86,W,-3.5,W,148.0,U
28,"Mar 9, 2019",GTOWN,86,MARQ,84,L,-9.0,L,154.0,O
29,"Mar 6, 2019",MARQ,64,SETON,73,L,2.5,L,145.0,U
