,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MARSH,71,UTEP,61,W,-1.5,W,141.5,U
1,"Feb 13, 2020",MARSH,63,TEXSA,72,L,1.5,L,164.0,U
2,"Feb 8, 2020",LATEC,79,MARSH,83,W,3.0,W,145.5,O
3,"Feb 6, 2020",S.MISS,58,MARSH,72,W,-10.0,W,147.0,U
4,"Feb 1, 2020",MARSH,73,FLAAT,91,L,-1.0,L,147.0,O
5,"Jan 30, 2020",MARSH,84,FLAIN,74,W,-2.5,W,159.5,U
6,"Jan 25, 2020",MARSH,84,W.KEN,91,L,-5.5,L,150.0,O
7,"Jan 22, 2020",W.KEN,64,MARSH,60,L,-1.5,L,154.0,U
8,"Jan 18, 2020",OLDDO,67,MARSH,68,W,-4.5,L,135.0,P
9,"Jan 16, 2020",CHARL,77,MARSH,75,L,-6.0,L,136.5,O
10,"Jan 11, 2020",MARSH,50,UAB,61,L,-1.5,L,138.0,U
11,"Jan 9, 2020",MARSH,79,MIDTN,75,W,4.5,L,151.0,O
12,"Jan 4, 2020",N.TEX,67,MARSH,64,L,-4.5,L,143.0,U
13,"Jan 2, 2020",RICE,69,MARSH,89,W,-9.5,W,160.0,U
14,"Dec 29, 2019",DUQU,61,MARSH,83,W,7.0,W,149.5,U
15,"Dec 22, 2019",MARSH,80,NIOWA,88,L,-11.0,W,144.5,O
16,"Dec 19, 2019",EKENT,72,MARSH,90,W,-12.0,W,159.0,O
17,"Dec 16, 2019",MARSH,89,MORHD,62,W,-2.0,W,148.0,O
18,"Dec 8, 2019",MARSH,72,TOLDO,82,L,-11.0,W,151.0,O
19,"Dec 4, 2019",AKRON,85,MARSH,73,L,3.5,L,149.5,O
20,"Nov 29, 2019",MARSH,67,FLA,73,L,-19.5,W,135.5,O
21,"Nov 21, 2019",HOWRD,63,MARSH,91,W,-18.0,W,152.5,O
22,"Nov 19, 2019",COLCH,76,MARSH,66,L,2.5,L,146.5,U
23,"Nov 15, 2019",MARSH,64,ND,74,L,-19.0,W,150.0,U
24,"Nov 10, 2019",TOLDO,96,MARSH,70,L,2.0,L,151.5,O
25,"Nov 7, 2019",ROBMO,60,MARSH,67,W,-9.5,L,149.5,U
26,"Apr 4, 2019",WISGB,70,MARSH,90,W,-5.0,W,168.5,U
27,"Apr 2, 2019",HAMPT,78,MARSH,80,W,-7.0,L,173.0,U
28,"Mar 26, 2019",PRESB,66,MARSH,83,W,-6.5,W,170.0,U
29,"Mar 19, 2019",IUPUI,73,MARSH,78,W,-7.5,L,166.5,U
