,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",NWEST,67,MARYL,76,W,-14.0,L,130.5,O
1,"Feb 15, 2020",MARYL,67,MICHS,60,W,-6.5,W,138.0,U
2,"Feb 11, 2020",NEBRS,70,MARYL,72,W,-18.0,L,147.5,U
3,"Feb 7, 2020",MARYL,75,ILL,66,W,-3.0,W,131.0,O
4,"Feb 4, 2020",RUTGR,51,MARYL,56,W,-7.5,L,130.0,U
5,"Jan 30, 2020",IOWA,72,MARYL,82,W,-6.0,W,144.5,O
6,"Jan 26, 2020",MARYL,77,INDY,76,W,-2.5,W,133.0,O
7,"Jan 21, 2020",MARYL,77,NWEST,66,W,7.5,W,127.0,O
8,"Jan 18, 2020",PURDU,50,MARYL,57,W,-6.5,W,124.5,U
9,"Jan 14, 2020",MARYL,54,WISCN,56,L,-2.5,W,125.5,U
10,"Jan 10, 2020",MARYL,49,IOWA,67,L,2.0,L,146.5,U
11,"Jan 7, 2020",OHIOS,55,MARYL,67,W,-3.0,W,135.0,U
12,"Jan 4, 2020",INDY,59,MARYL,75,W,-6.5,W,137.5,U
13,"Dec 29, 2019",BRYANT,70,MARYL,84,W,-22.0,L,140.0,O
14,"Dec 19, 2019",MARYL,48,SETON,52,L,7.0,L,138.5,U
15,"Dec 10, 2019",MARYL,69,PENST,76,L,-2.0,L,143.0,O
16,"Dec 7, 2019",ILL,58,MARYL,59,W,-10.0,L,142.0,U
17,"Dec 4, 2019",ND,51,MARYL,72,W,-9.5,W,140.5,U
18,"Dec 1, 2019",MARYL,84,MARQ,63,W,3.5,W,148.0,U
19,"Nov 29, 2019",MARYL,80,HARVD,73,W,9.5,L,139.0,O
20,"Nov 28, 2019",MARYL,76,TEMPL,69,W,9.5,L,138.5,O
21,"Nov 22, 2019",GMASN,63,MARYL,86,W,-19.0,W,135.5,O
22,"Nov 19, 2019",FAIRF,55,MARYL,74,W,-24.0,L,131.5,U
23,"Nov 16, 2019",OAKLN,50,MARYL,80,W,-19.0,W,135.5,U
24,"Nov 9, 2019",RHODEI,55,MARYL,73,W,-12.5,W,145.0,U
25,"Nov 5, 2019",HOLYC,71,MARYL,95,W,-28.5,L,142.0,O
26,"Mar 23, 2019",MARYL,67,LSU,69,L,-3.0,W,147.0,U
27,"Mar 21, 2019",BELMT,77,MARYL,79,W,-3.5,L,151.0,O
28,"Mar 14, 2019",NEBRS,69,MARYL,61,L,-6.0,L,135.5,U
29,"Mar 8, 2019",MINN,60,MARYL,69,W,-7.0,W,135.0,U
