,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MCNEE,79,NWST,84,L,1.5,L,150.0,O
1,"Feb 8, 2020",C.ARK,82,MCNEE,76,L,-4.5,L,156.5,O
2,"Feb 5, 2020",MCNEE,62,TEXCC,69,L,2.0,L,139.5,U
3,"Feb 1, 2020",LAMAR,96,MCNEE,91,L,-4.5,L,144.0,O
4,"Jan 29, 2020",NICHL,74,MCNEE,80,W,-2.0,W,144.0,O
5,"Jan 25, 2020",HOUBPT,89,MCNEE,102,W,-11.0,W,176.0,O
6,"Jan 22, 2020",MCNEE,77,SELA,61,W,2.5,W,147.5,U
7,"Jan 18, 2020",MCNEE,65,NEWOR,52,W,-1.0,W,154.5,U
8,"Jan 15, 2020",INCAR,56,MCNEE,72,W,-11.5,W,146.0,U
9,"Jan 11, 2020",NWST,76,MCNEE,85,W,-7.5,W,154.5,O
10,"Jan 8, 2020",MCNEE,88,ABILE,84,W,-7.0,W,145.5,O
11,"Jan 4, 2020",MCNEE,69,C.ARK,79,L,1.0,L,161.0,U
12,"Jan 2, 2020",SAMHO,94,MCNEE,75,L,3.5,L,153.5,O
13,"Dec 21, 2019",SFA,81,MCNEE,73,L,7.5,L,151.0,O
14,"Dec 18, 2019",PQUIN,67,MCNEE,109,W,0.0,,0.0,
15,"Dec 10, 2019",UMKC,73,MCNEE,82,W,-1.5,W,135.0,O
16,"Nov 30, 2019",MCNEE,71,TEXAS,73,L,-23.0,W,133.5,O
17,"Nov 22, 2019",MCNEE,57,RICHM,87,L,-16.5,L,151.0,U
18,"Nov 18, 2019",ARBAPT,51,MCNEE,103,W,0.0,,0.0,
19,"Nov 16, 2019",MCNEE,80,NEWMX,90,L,-18.0,W,154.0,O
20,"Nov 13, 2019",MCNEE,63,WISCN,83,L,-22.5,W,129.5,O
21,"Nov 11, 2019",SO.NO,33,MCNEE,104,W,0.0,,0.0,
22,"Nov 9, 2019",MCNEE,80,ULLAF,85,L,-7.5,W,151.0,O
23,"Nov 6, 2019",MCNEE,65,WMICH,75,L,-7.5,L,145.0,U
24,"Mar 9, 2019",MCNEE,58,LAMAR,83,L,-12.0,L,144.5,U
25,"Mar 6, 2019",TEXCC,59,MCNEE,50,L,2.5,L,132.5,U
26,"Mar 2, 2019",MCNEE,65,HOUBPT,86,L,-7.5,L,156.5,U
27,"Feb 27, 2019",MCNEE,84,NICHL,75,W,-4.5,W,145.5,O
28,"Feb 23, 2019",NEWOR,60,MCNEE,51,L,2.0,L,141.0,U
29,"Feb 20, 2019",C.ARK,75,MCNEE,83,W,-1.5,W,151.5,O
