,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MEMPH,61,UCONN,64,L,-4.0,W,136.5,U
1,"Feb 13, 2020",MEMPH,86,CINCY,92,L,-7.0,W,136.5,O
2,"Feb 8, 2020",S.FLA,75,MEMPH,73,L,-8.0,L,127.0,O
3,"Feb 5, 2020",TEMPL,65,MEMPH,79,W,-8.0,W,136.5,O
4,"Feb 1, 2020",UCONN,63,MEMPH,70,W,-4.5,W,134.5,U
5,"Jan 29, 2020",MEMPH,59,UCF,57,W,1.5,W,139.0,U
6,"Jan 25, 2020",SMU,74,MEMPH,70,L,-4.0,L,139.0,O
7,"Jan 22, 2020",MEMPH,40,TULSA,80,L,3.0,L,139.0,U
8,"Jan 16, 2020",CINCY,49,MEMPH,60,W,-4.0,W,141.5,U
9,"Jan 12, 2020",MEMPH,68,S.FLA,64,W,3.5,W,134.0,U
10,"Jan 9, 2020",MEMPH,67,WICHI,76,L,-5.5,L,142.0,O
11,"Jan 4, 2020",GA,65,MEMPH,62,L,-7.5,L,153.5,U
12,"Dec 30, 2019",TULAN,73,MEMPH,84,W,-15.0,L,144.0,O
13,"Dec 28, 2019",NEWOR,55,MEMPH,97,W,-26.5,W,145.5,O
14,"Dec 21, 2019",JACKS,49,MEMPH,77,W,-25.0,W,143.0,U
15,"Dec 14, 2019",MEMPH,51,TENN,47,W,-6.0,W,138.0,U
16,"Dec 7, 2019",MEMPH,65,UAB,57,W,8.0,P,140.5,U
17,"Dec 3, 2019",BRAD,56,MEMPH,71,W,-12.5,W,147.0,U
18,"Nov 28, 2019",NCST,78,MEMPH,83,W,2.0,W,153.5,O
19,"Nov 23, 2019",MISS,86,MEMPH,87,W,-4.5,L,146.0,O
20,"Nov 20, 2019",ARKLR,58,MEMPH,68,W,-16.5,L,140.5,U
21,"Nov 16, 2019",ALCRN,56,MEMPH,102,W,-28.5,W,146.0,O
22,"Nov 12, 2019",MEMPH,74,OREG,82,L,-4.0,L,145.5,O
23,"Nov 8, 2019",ILCHI,46,MEMPH,92,W,-20.5,W,154.5,U
24,"Nov 5, 2019",SC.ST,64,MEMPH,97,W,-26.0,W,156.0,O
25,"Mar 22, 2019",MEMPH,67,CREIG,79,L,-5.5,L,162.5,U
26,"Mar 19, 2019",SD,60,MEMPH,74,W,-7.0,W,155.5,U
27,"Mar 16, 2019",MEMPH,58,HOUST,61,L,-7.5,W,151.5,U
28,"Mar 15, 2019",MEMPH,79,UCF,55,W,-3.0,W,147.5,U
29,"Mar 14, 2019",TULAN,68,MEMPH,83,W,-16.5,L,154.5,U
