,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NCGRE,67,MERCR,55,L,7.0,L,136.5,U
1,"Feb 12, 2020",MERCR,70,WOFFD,68,W,-7.5,W,140.0,U
2,"Feb 8, 2020",E.TEN,73,MERCR,60,L,8.5,L,136.0,U
3,"Feb 5, 2020",MERCR,57,FURMN,79,L,-12.0,L,143.0,U
4,"Feb 1, 2020",CITDL,71,MERCR,76,W,-11.0,L,154.0,U
5,"Jan 29, 2020",MERCR,71,E.TEN,55,W,-14.0,W,134.0,U
6,"Jan 25, 2020",MERCR,69,VMI,66,W,1.5,W,142.0,U
7,"Jan 22, 2020",W.CAR,79,MERCR,85,W,-2.0,W,154.0,O
8,"Jan 18, 2020",MERCR,90,SAMFD,75,W,-2.0,W,150.0,O
9,"Jan 15, 2020",VMI,62,MERCR,73,W,-6.0,W,144.5,U
10,"Jan 11, 2020",MERCR,71,W.CAR,79,L,-7.0,L,153.5,U
11,"Jan 4, 2020",CHATT,70,MERCR,61,L,-2.0,L,137.0,U
12,"Jan 1, 2020",MERCR,63,NCGRE,72,L,-13.5,W,130.5,O
13,"Dec 28, 2019",MILGN,53,MERCR,104,W,0.0,,0.0,
14,"Dec 22, 2019",FLAAT,65,MERCR,50,L,-2.0,L,140.5,U
15,"Dec 20, 2019",FURMN,64,MERCR,62,L,9.0,W,145.5,U
16,"Dec 16, 2019",MERCR,72,NCWIL,63,W,-1.5,W,143.5,U
17,"Dec 7, 2019",GAST,73,MERCR,61,L,2.0,L,151.5,U
18,"Dec 2, 2019",MERCR,67,HOLYC,81,L,9.0,L,151.5,U
19,"Dec 1, 2019",MERCR,66,CANIS,76,L,1.5,L,150.0,U
20,"Nov 26, 2019",MERCR,51,STBON,56,L,-6.0,W,141.5,U
21,"Nov 23, 2019",MERCR,72,ILCHI,68,W,-4.5,W,151.0,U
22,"Nov 19, 2019",MERCR,88,GASOU,98,L,-9.0,L,158.5,O
23,"Nov 15, 2019",FLAGC,68,MERCR,84,W,-6.0,W,145.5,O
24,"Nov 11, 2019",KENNE,62,MERCR,74,W,-11.5,W,148.0,U
25,"Nov 8, 2019",CLMINT,76,MERCR,84,W,0.0,,0.0,
26,"Nov 6, 2019",MERCR,79,STJON,109,L,-11.0,L,151.5,O
27,"Mar 9, 2019",MERCR,74,FURMN,85,L,-10.5,L,137.5,O
28,"Mar 2, 2019",NCGRE,74,MERCR,47,L,3.5,L,139.5,U
29,"Feb 28, 2019",MERCR,71,VMI,84,L,5.0,L,151.5,O
