,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",MIAMI,102,VATEC,95,W,-4.5,W,139.0,O
1,"Feb 15, 2020",WAKE,54,MIAMI,71,W,-4.0,W,149.5,U
2,"Feb 12, 2020",BC,58,MIAMI,85,W,-4.0,W,141.5,O
3,"Feb 8, 2020",MIAMI,81,FLAST,99,L,-13.5,L,144.0,O
4,"Feb 5, 2020",NCST,83,MIAMI,72,L,3.5,L,142.5,O
5,"Feb 2, 2020",MIAMI,57,PITT,62,L,-7.5,W,135.5,U
6,"Jan 28, 2020",VATEC,61,MIAMI,71,W,3.5,W,135.5,U
7,"Jan 25, 2020",MIAMI,71,UNC,94,L,-6.5,L,144.5,O
8,"Jan 21, 2020",MIAMI,59,DUKE,89,L,-19.0,L,147.5,O
9,"Jan 18, 2020",FLAST,83,MIAMI,79,L,6.0,W,142.0,O
10,"Jan 15, 2020",MIAMI,63,NCST,80,L,-9.0,L,153.5,U
11,"Jan 12, 2020",PITT,58,MIAMI,66,W,-2.5,W,137.5,U
12,"Jan 7, 2020",MIAMI,58,LOUIS,74,L,-13.5,L,144.0,U
13,"Jan 4, 2020",DUKE,95,MIAMI,62,L,10.0,L,148.5,O
14,"Dec 31, 2019",MIAMI,73,CLEMS,68,W,-3.0,W,134.5,O
15,"Dec 21, 2019",COPIN,60,MIAMI,91,W,-18.0,W,154.5,U
16,"Dec 17, 2019",TEMPL,77,MIAMI,78,W,2.5,W,141.0,O
17,"Dec 14, 2019",ALA&M,74,MIAMI,88,W,-26.5,L,140.0,O
18,"Dec 2, 2019",MIAMI,81,ILL,79,W,-9.0,W,144.0,O
19,"Nov 24, 2019",MIAMI,55,UCONN,80,L,-1.5,L,145.0,U
20,"Nov 22, 2019",MIAMI,58,FLA,78,L,-5.0,L,129.5,O
21,"Nov 21, 2019",MIZST,70,MIAMI,74,W,-6.5,L,132.0,O
22,"Nov 16, 2019",QUINN,52,MIAMI,80,W,-16.0,W,144.5,U
23,"Nov 12, 2019",MIAMI,79,UCF,70,W,3.0,W,138.0,O
24,"Nov 8, 2019",FLAAT,60,MIAMI,74,W,-12.0,W,141.0,U
25,"Nov 5, 2019",LOUIS,87,MIAMI,74,L,6.5,L,144.5,O
26,"Mar 13, 2019",MIAMI,56,VATEC,71,L,-8.0,L,137.5,U
27,"Mar 12, 2019",WAKE,71,MIAMI,79,W,-7.5,W,141.0,O
28,"Mar 8, 2019",MIAMI,70,VATEC,84,L,-9.5,L,133.0,O
29,"Mar 5, 2019",PITT,63,MIAMI,76,W,-6.0,W,136.0,O
