,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MARYL,67,MICHS,60,L,-6.5,L,138.0,U
1,"Feb 11, 2020",MICHS,70,ILL,69,W,2.5,L,141.0,U
2,"Feb 8, 2020",MICHS,68,MICH,77,L,3.0,L,142.5,O
3,"Feb 4, 2020",PENST,75,MICHS,70,L,-8.5,L,145.5,U
4,"Feb 1, 2020",MICHS,63,WISCN,64,L,5.5,L,127.0,P
5,"Jan 29, 2020",NWEST,50,MICHS,79,W,-17.5,W,138.5,U
6,"Jan 26, 2020",MICHS,70,MINN,52,W,3.0,W,142.0,U
7,"Jan 23, 2020",MICHS,63,INDY,67,L,4.0,L,144.0,U
8,"Jan 17, 2020",WISCN,55,MICHS,67,W,-9.5,W,130.5,U
9,"Jan 12, 2020",MICHS,42,PURDU,71,L,4.5,L,135.0,U
10,"Jan 9, 2020",MINN,58,MICHS,74,W,-12.0,W,145.0,U
11,"Jan 5, 2020",MICH,69,MICHS,87,W,-9.0,W,145.0,O
12,"Jan 2, 2020",ILL,56,MICHS,76,W,-10.0,W,144.5,U
13,"Dec 29, 2019",WMICH,62,MICHS,95,W,-25.0,W,142.5,O
14,"Dec 21, 2019",EMICH,48,MICHS,101,W,-23.5,W,133.5,O
15,"Dec 18, 2019",MICHS,77,NWEST,72,W,12.0,L,139.0,O
16,"Dec 14, 2019",MICHS,72,OAKLN,49,W,17.0,W,133.0,U
17,"Dec 8, 2019",RUTGR,65,MICHS,77,W,-14.0,L,141.5,O
18,"Dec 3, 2019",DUKE,87,MICHS,75,L,-6.5,L,143.5,O
19,"Nov 27, 2019",MICHS,75,UCLA,62,W,14.0,L,141.5,U
20,"Nov 26, 2019",GA,85,MICHS,93,W,-14.0,L,150.0,O
21,"Nov 25, 2019",VATEC,71,MICHS,66,L,-13.5,L,138.0,U
22,"Nov 18, 2019",CHASO,46,MICHS,94,W,-38.0,W,142.0,U
23,"Nov 14, 2019",MICHS,76,SETON,73,W,5.5,L,139.5,O
24,"Nov 10, 2019",BINGH,47,MICHS,100,W,-37.5,W,139.5,O
25,"Nov 5, 2019",MICHS,62,KENTY,69,L,3.0,L,140.5,U
26,"Apr 6, 2019",TEXTK,61,MICHS,51,L,-2.0,L,132.5,U
27,"Mar 31, 2019",MICHS,68,DUKE,67,W,-2.5,W,149.5,U
28,"Mar 29, 2019",LSU,63,MICHS,80,W,-6.0,W,148.0,U
29,"Mar 23, 2019",MINN,50,MICHS,70,W,-10.5,W,139.0,U
