,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",INDY,68,MINN,56,L,-5.5,L,135.5,U
1,"Feb 16, 2020",IOWA,58,MINN,55,L,-5.0,L,151.0,U
2,"Feb 8, 2020",MINN,77,PENST,83,L,-6.0,P,138.5,O
3,"Feb 5, 2020",WISCN,52,MINN,70,W,-3.5,W,127.0,U
4,"Jan 30, 2020",MINN,51,ILL,59,L,-6.0,L,134.5,U
5,"Jan 26, 2020",MICHS,70,MINN,52,L,3.0,L,142.0,U
6,"Jan 23, 2020",MINN,62,OHIOS,59,W,-8.5,W,134.0,U
7,"Jan 19, 2020",MINN,56,RUTGR,64,L,-5.5,L,129.5,U
8,"Jan 15, 2020",PENST,69,MINN,75,W,-2.5,W,143.0,O
9,"Jan 12, 2020",MICH,67,MINN,75,W,-2.5,W,138.5,O
10,"Jan 9, 2020",MINN,58,MICHS,74,L,-12.0,L,145.0,U
11,"Jan 5, 2020",NWEST,68,MINN,77,W,-12.0,L,135.5,O
12,"Jan 2, 2020",MINN,78,PURDU,83,L,-7.5,W,133.0,O
13,"Dec 28, 2019",FLAIN,62,MINN,89,W,-13.5,W,154.0,U
14,"Dec 21, 2019",MINN,86,OKST,66,W,-4.0,W,134.0,O
15,"Dec 15, 2019",OHIOS,71,MINN,84,W,7.5,W,129.5,O
16,"Dec 9, 2019",MINN,52,IOWA,72,L,-5.5,L,147.0,U
17,"Dec 2, 2019",CLEMS,60,MINN,78,W,-2.5,W,131.0,O
18,"Nov 29, 2019",DPAUL,73,MINN,68,L,-4.0,L,134.5,O
19,"Nov 24, 2019",NDAKOT,56,MINN,79,W,-18.5,W,137.0,U
20,"Nov 21, 2019",CMICH,57,MINN,82,W,-10.0,W,154.0,U
21,"Nov 15, 2019",MINN,69,UTAH,73,L,-5.0,W,145.0,U
22,"Nov 12, 2019",MINN,56,BUTLR,64,L,-8.0,P,135.5,U
23,"Nov 9, 2019",OKLA,71,MINN,62,L,4.5,L,146.0,U
24,"Nov 5, 2019",CLEST,50,MINN,85,W,-22.0,W,146.0,U
25,"Mar 23, 2019",MINN,50,MICHS,70,L,-10.5,L,139.0,U
26,"Mar 21, 2019",MINN,86,LOUIS,76,W,-5.5,W,137.5,O
27,"Mar 16, 2019",MINN,49,MICH,76,L,-9.0,L,130.0,U
28,"Mar 15, 2019",MINN,75,PURDU,73,W,-10.0,W,138.0,O
29,"Mar 14, 2019",PENST,72,MINN,77,W,3.0,W,135.5,O
