,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MISST,78,ARK,77,W,-2.5,W,141.5,O
1,"Feb 11, 2020",MISST,58,MISS,83,L,0.0,,137.5,O
2,"Feb 8, 2020",VANDY,70,MISST,80,W,-15.5,L,143.5,O
3,"Feb 4, 2020",MISST,72,KENTY,80,L,-6.5,L,139.5,O
4,"Feb 1, 2020",TENN,73,MISST,86,W,-5.5,W,128.5,O
5,"Jan 28, 2020",MISST,78,FLA,71,W,-6.0,W,134.0,O
6,"Jan 25, 2020",MISST,62,OKLA,63,L,-2.0,W,137.5,U
7,"Jan 22, 2020",ARK,70,MISST,77,W,-4.0,W,136.0,O
8,"Jan 18, 2020",GA,59,MISST,91,W,-6.5,W,140.0,O
9,"Jan 14, 2020",MIZZU,45,MISST,72,W,-3.0,W,127.5,U
10,"Jan 11, 2020",MISST,59,LSU,60,L,-7.0,W,145.0,U
11,"Jan 8, 2020",MISST,69,ALA,90,L,-3.0,L,153.0,O
12,"Jan 4, 2020",AUBRN,80,MISST,68,L,0.0,L,142.0,O
13,"Dec 30, 2019",KENT,68,MISST,96,W,-7.5,W,138.0,O
14,"Dec 22, 2019",NMXST,58,MISST,52,L,-4.5,L,129.5,U
15,"Dec 18, 2019",RADFD,68,MISST,77,W,-12.5,L,132.5,O
16,"Dec 14, 2019",KANST,61,MISST,67,W,-2.5,W,126.5,O
17,"Dec 5, 2019",LATEC,74,MISST,67,L,-7.5,L,140.0,O
18,"Nov 24, 2019",MISST,81,COCAR,56,W,6.0,W,138.0,U
19,"Nov 22, 2019",VILLA,83,MISST,76,L,7.0,P,134.5,O
20,"Nov 21, 2019",MISST,80,TULAN,66,W,10.0,W,137.5,O
21,"Nov 17, 2019",NEWOR,59,MISST,82,W,-17.0,W,135.5,O
22,"Nov 14, 2019",ULMON,45,MISST,62,W,-15.5,W,132.5,U
23,"Nov 8, 2019",SAMHO,58,MISST,67,W,-15.5,L,140.0,U
24,"Nov 5, 2019",FLAIN,69,MISST,77,W,-16.5,L,159.0,U
25,"Mar 22, 2019",LIBRT,80,MISST,76,L,-7.0,L,132.5,O
26,"Mar 15, 2019",MISST,76,TENN,83,L,-5.5,L,146.5,O
27,"Mar 14, 2019",TEXAM,54,MISST,80,W,-9.0,W,141.5,U
28,"Mar 9, 2019",TEXAM,81,MISST,92,W,-11.0,P,139.0,O
29,"Mar 5, 2019",MISST,54,TENN,71,L,-8.0,L,145.0,U
