,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",MSVAL,62,SUTHR,95,L,-17.0,L,149.5,O
1,"Feb 15, 2020",MSVAL,88,ALCRN,92,L,-14.0,W,160.5,O
2,"Feb 10, 2020",ALA&M,61,MSVAL,67,W,7.0,W,154.0,U
3,"Feb 8, 2020",ALAST,87,MSVAL,74,L,8.0,L,150.5,O
4,"Feb 3, 2020",GRAMB,90,MSVAL,65,L,10.5,L,152.0,O
5,"Feb 1, 2020",JACKS,85,MSVAL,65,L,9.5,L,152.0,U
6,"Jan 27, 2020",MSVAL,83,PVA&M,102,L,-21.0,W,152.5,O
7,"Jan 25, 2020",MSVAL,67,TEXSO,80,L,-22.0,W,161.5,U
8,"Jan 20, 2020",SUTHR,74,MSVAL,70,L,9.0,W,148.5,U
9,"Jan 18, 2020",ALCRN,105,MSVAL,73,L,7.5,L,155.5,O
10,"Jan 13, 2020",MSVAL,72,ALA&M,66,W,-13.5,W,154.5,U
11,"Jan 11, 2020",MSVAL,75,ALAST,81,L,-13.5,W,150.5,O
12,"Jan 4, 2020",ARKPB,80,MSVAL,76,L,2.5,L,139.0,O
13,"Dec 22, 2019",MSVAL,66,CALBAP,103,L,-27.5,L,160.5,O
14,"Dec 20, 2019",MSVAL,71,SACLA,100,L,-27.0,L,154.5,O
15,"Dec 17, 2019",MSVAL,50,WRIGH,92,L,-29.0,L,155.0,U
16,"Dec 15, 2019",MSVAL,67,MIAOH,79,L,-25.0,W,155.0,U
17,"Dec 6, 2019",MSVAL,62,MIZST,86,L,-28.5,W,139.5,O
18,"Nov 30, 2019",NORAM,70,MSVAL,124,W,0.0,,0.0,
19,"Nov 27, 2019",MSVAL,50,N.ALAB,73,L,-19.5,L,147.5,U
20,"Nov 24, 2019",MSVAL,54,SD.ST,84,L,-27.5,L,160.5,U
21,"Nov 19, 2019",MSVAL,43,LATEC,76,L,-36.5,W,160.0,U
22,"Nov 12, 2019",MSVAL,81,WMICH,91,L,-28.5,W,163.5,O
23,"Nov 10, 2019",MSVAL,78,CMICH,134,L,-28.5,L,163.5,O
24,"Nov 8, 2019",MSVAL,49,UTAH,143,L,-30.0,L,148.5,O
25,"Nov 5, 2019",MSVAL,74,IOWAS,110,L,-34.5,L,147.0,O
26,"Mar 9, 2019",ARKPB,91,MSVAL,57,L,2.0,L,134.5,O
27,"Mar 4, 2019",GRAMB,77,MSVAL,75,L,5.0,W,139.0,O
28,"Mar 2, 2019",JACKS,57,MSVAL,60,W,2.0,W,131.0,U
29,"Feb 25, 2019",MSVAL,80,TEXSO,92,L,-18.0,W,155.5,O
