,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MISS,62,KENTY,67,L,-10.0,W,137.5,U
1,"Feb 11, 2020",MISST,58,MISS,83,W,0.0,W,137.5,O
2,"Feb 8, 2020",FLA,51,MISS,68,W,3.5,W,136.0,U
3,"Feb 5, 2020",S.CAR,70,MISS,84,W,-2.0,W,142.5,O
4,"Feb 1, 2020",MISS,63,LSU,73,L,-11.0,W,148.0,U
5,"Jan 28, 2020",AUBRN,83,MISS,82,L,5.5,W,142.0,O
6,"Jan 25, 2020",MISS,70,GA,60,W,-6.5,W,145.0,U
7,"Jan 21, 2020",MISS,48,TENN,73,L,-6.5,L,128.0,U
8,"Jan 18, 2020",LSU,80,MISS,76,L,4.5,W,145.5,O
9,"Jan 14, 2020",MISS,55,FLA,71,L,-11.5,L,137.0,U
10,"Jan 11, 2020",ARK,76,MISS,72,L,2.0,L,140.0,O
11,"Jan 7, 2020",MISS,47,TEXAM,57,L,3.0,L,127.0,U
12,"Jan 4, 2020",MISS,54,WICHI,74,L,-7.5,L,139.5,U
13,"Dec 29, 2019",TNTEC,63,MISS,80,W,-20.5,L,136.0,O
14,"Dec 21, 2019",SELA,76,MISS,83,W,-20.0,L,144.5,O
15,"Dec 14, 2019",MIDTN,64,MISS,82,W,-16.5,W,142.5,O
16,"Dec 7, 2019",CSBAK,67,MISS,83,W,-14.5,W,132.0,O
17,"Dec 3, 2019",BUTLR,67,MISS,58,L,-1.0,L,130.0,U
18,"Nov 29, 2019",MISS,37,OKST,78,L,1.0,L,139.5,U
19,"Nov 27, 2019",MISS,74,PENST,72,W,-2.5,W,133.5,O
20,"Nov 23, 2019",MISS,86,MEMPH,87,L,-4.5,W,146.0,O
21,"Nov 19, 2019",SEATT,52,MISS,65,W,-18.5,L,133.5,U
22,"Nov 15, 2019",WMICH,58,MISS,85,W,-19.5,W,136.5,O
23,"Nov 12, 2019",NORFK,55,MISS,68,W,-24.5,L,140.5,U
24,"Nov 8, 2019",ARKST,43,MISS,71,W,-21.5,W,144.0,U
25,"Mar 22, 2019",OKLA,95,MISS,72,L,-1.0,L,142.5,O
26,"Mar 14, 2019",ALA,62,MISS,57,L,-3.5,L,143.5,U
27,"Mar 9, 2019",MISS,73,MIZZU,68,W,2.5,W,134.5,O
28,"Mar 5, 2019",KENTY,80,MISS,76,L,5.5,W,137.5,O
29,"Mar 2, 2019",MISS,73,ARK,74,L,-2.5,W,148.5,U
