,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MIZST,71,INDST,58,W,-4.0,W,137.0,U
1,"Feb 12, 2020",DRAKE,62,MIZST,97,W,-2.0,W,137.5,O
2,"Feb 8, 2020",MIZST,66,S.ILL,68,L,-3.0,W,127.5,O
3,"Feb 5, 2020",ILLST,60,MIZST,80,W,-6.0,W,137.5,O
4,"Feb 1, 2020",INDST,78,MIZST,68,L,-1.5,L,136.0,O
5,"Jan 29, 2020",MIZST,66,NIOWA,95,L,-10.0,L,137.0,O
6,"Jan 26, 2020",MIZST,69,DRAKE,71,L,-5.5,W,133.0,O
7,"Jan 23, 2020",VALPO,60,MIZST,67,W,-4.0,W,139.0,U
8,"Jan 18, 2020",MIZST,68,EVANS,58,W,4.0,W,131.0,U
9,"Jan 15, 2020",BRAD,91,MIZST,78,L,-2.5,L,130.0,O
10,"Jan 11, 2020",NIOWA,80,MIZST,57,L,2.0,L,127.5,O
11,"Jan 7, 2020",MIZST,67,ILLST,63,W,-2.5,W,127.0,O
12,"Jan 4, 2020",MIZST,58,LOYCH,62,L,-6.0,W,124.0,U
13,"Dec 31, 2019",EVANS,52,MIZST,65,W,-6.0,W,134.0,U
14,"Dec 21, 2019",MIZST,72,ORALR,82,L,-2.0,L,139.0,O
15,"Dec 15, 2019",MIZST,51,VACOM,61,L,-11.5,W,135.5,U
16,"Dec 11, 2019",ARKST,53,MIZST,75,W,-9.5,W,132.0,U
17,"Dec 6, 2019",MSVAL,62,MIZST,86,W,-28.5,L,139.5,O
18,"Dec 3, 2019",MURRAY,69,MIZST,71,W,-4.5,L,130.0,O
19,"Nov 29, 2019",MIZST,58,LSU,73,L,-13.0,L,138.5,U
20,"Nov 24, 2019",MIZST,74,BUFF,75,L,-2.0,W,140.0,O
21,"Nov 22, 2019",MIZST,71,STJOE,69,W,2.5,L,144.0,U
22,"Nov 21, 2019",MIZST,70,MIAMI,74,L,-6.5,W,132.0,O
23,"Nov 15, 2019",MIZST,56,XAVIR,59,L,-13.5,W,128.0,U
24,"Nov 12, 2019",CLEST,53,MIZST,73,W,-17.5,W,132.5,U
25,"Nov 10, 2019",ALAST,50,MIZST,59,W,-18.0,L,136.0,U
26,"Nov 5, 2019",ARKLR,67,MIZST,66,L,-12.5,L,140.5,U
27,"Mar 8, 2019",BRAD,61,MIZST,58,L,-3.0,L,125.0,U
28,"Mar 2, 2019",DRAKE,73,MIZST,62,L,-4.5,L,132.5,O
29,"Feb 27, 2019",MIZST,57,ILLST,65,L,-2.0,L,125.5,U
