,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",MISS,68,MIZZU,71,W,-1.5,W,133.5,O
1,"Feb 15, 2020",AUBRN,73,MIZZU,85,W,3.5,W,137.0,O
2,"Feb 11, 2020",MIZZU,78,LSU,82,L,-11.5,W,144.0,O
3,"Feb 8, 2020",ARK,79,MIZZU,83,W,1.5,W,135.5,O
4,"Feb 4, 2020",MIZZU,51,TEXAM,68,L,1.5,L,123.5,U
5,"Feb 1, 2020",MIZZU,54,S.CAR,76,L,-5.5,L,138.5,U
6,"Jan 28, 2020",GA,69,MIZZU,72,W,-4.5,L,137.0,O
7,"Jan 25, 2020",MIZZU,51,W.VA,74,L,-12.0,L,135.0,U
8,"Jan 21, 2020",TEXAM,66,MIZZU,64,L,-10.0,L,123.0,O
9,"Jan 18, 2020",MIZZU,74,ALA,88,L,-6.5,L,147.0,O
10,"Jan 14, 2020",MIZZU,45,MISST,72,L,-3.0,L,127.5,U
11,"Jan 11, 2020",FLA,75,MIZZU,91,W,2.0,W,129.0,O
12,"Jan 7, 2020",TENN,69,MIZZU,59,L,-4.5,L,122.5,O
13,"Jan 4, 2020",MIZZU,59,KENTY,71,L,-8.5,L,127.0,O
14,"Dec 30, 2019",CHIST,33,MIZZU,91,W,-33.0,W,136.0,U
15,"Dec 21, 2019",ILL,56,MIZZU,63,W,3.0,W,131.0,U
16,"Dec 15, 2019",S.ILL,48,MIZZU,64,W,-15.0,W,123.5,U
17,"Dec 7, 2019",MIZZU,64,TEMPL,54,W,-2.5,W,127.0,U
18,"Dec 3, 2019",CHASO,68,MIZZU,60,L,-26.0,L,131.0,U
19,"Nov 26, 2019",MIZZU,66,OKLA,77,L,1.5,L,129.0,O
20,"Nov 25, 2019",BUTLR,63,MIZZU,52,L,-1.0,L,124.5,U
21,"Nov 20, 2019",MORHD,52,MIZZU,70,W,-18.5,L,130.0,U
22,"Nov 18, 2019",WOFFD,56,MIZZU,75,W,-10.5,W,135.0,U
23,"Nov 12, 2019",MIZZU,58,XAVIR,63,L,-5.0,P,133.5,U
24,"Nov 8, 2019",N.KENT,56,MIZZU,71,W,-13.5,W,142.0,U
25,"Nov 6, 2019",INCAR,42,MIZZU,82,W,-26.5,W,137.5,U
26,"Mar 14, 2019",MIZZU,71,AUBRN,81,L,-9.5,L,133.5,O
27,"Mar 13, 2019",GA,61,MIZZU,71,W,-3.5,W,129.0,O
28,"Mar 9, 2019",MISS,73,MIZZU,68,L,2.5,L,134.5,O
29,"Mar 6, 2019",MIZZU,64,GA,39,W,-3.5,W,135.0,U
