,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MONMO,72,NIAGR,77,L,3.5,L,144.5,O
1,"Feb 14, 2020",MONMO,85,CANIS,71,W,-1.0,W,149.0,O
2,"Feb 9, 2020",STPET,81,MONMO,69,L,-4.5,L,135.5,O
3,"Feb 4, 2020",MONMO,53,FAIRF,55,L,1.0,L,132.5,U
4,"Feb 2, 2020",RIDER,84,MONMO,90,W,-1.0,W,148.5,O
5,"Jan 29, 2020",MONMO,63,STPET,66,L,-1.0,L,133.5,U
6,"Jan 26, 2020",MONMO,94,IONA,88,W,-2.0,W,146.0,O
7,"Jan 24, 2020",NIAGR,71,MONMO,82,W,-7.5,W,142.0,O
8,"Jan 18, 2020",MONMO,65,MANHT,58,W,-2.5,W,132.0,U
9,"Jan 16, 2020",MARST,66,MONMO,74,W,-11.5,L,125.5,O
10,"Jan 12, 2020",MONMO,70,QUINN,84,L,-3.0,L,141.5,O
11,"Jan 10, 2020",CANIS,65,MONMO,84,W,-4.5,W,144.5,O
12,"Jan 5, 2020",IONA,61,MONMO,73,W,0.0,W,147.0,U
13,"Jan 3, 2020",MONMO,72,SIENA,75,L,-7.0,W,141.5,O
14,"Dec 21, 2019",ALBNY,70,MONMO,72,W,-3.0,L,132.5,O
15,"Dec 10, 2019",MONMO,67,PRNCE,66,W,-6.5,W,138.5,U
16,"Nov 27, 2019",NORFK,71,MONMO,75,W,-7.0,L,127.0,O
17,"Nov 26, 2019",RADFD,63,MONMO,80,W,3.5,W,130.5,O
18,"Nov 23, 2019",STETS,63,MONMO,55,L,-8.0,L,133.0,U
19,"Nov 22, 2019",KENNE,40,MONMO,71,W,-8.0,W,136.0,U
20,"Nov 18, 2019",MONMO,50,PITT,63,L,-15.5,W,133.5,U
21,"Nov 15, 2019",MONMO,57,KANSA,112,L,-26.5,L,141.0,O
22,"Nov 13, 2019",MONMO,54,KANST,73,L,-17.0,L,122.5,O
23,"Nov 9, 2019",MONMO,74,HOFST,94,L,-6.5,L,146.0,O
24,"Nov 5, 2019",MONMO,66,LEHIH,62,W,-4.5,W,149.0,U
25,"Mar 11, 2019",MONMO,60,IONA,81,L,-4.5,L,139.5,O
26,"Mar 10, 2019",MONMO,73,CANIS,59,W,1.0,W,137.0,U
27,"Mar 9, 2019",MONMO,98,QUINN,92,W,-3.5,W,133.5,O
28,"Mar 7, 2019",NIAGR,72,MONMO,76,W,-2.0,W,137.0,O
29,"Mar 1, 2019",MONMO,62,MANHT,54,W,-1.0,W,117.0,U
