,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",MONST,77,PORST,87,L,-5.0,L,151.5,O
1,"Feb 15, 2020",WEBER,63,MONST,77,W,-5.0,W,133.0,O
2,"Feb 13, 2020",ID.ST,69,MONST,73,W,-7.5,L,136.5,O
3,"Feb 8, 2020",MONST,49,EWASH,74,L,-7.0,L,146.0,U
4,"Feb 6, 2020",IDAHO,50,MONST,72,W,-8.5,W,138.0,U
5,"Feb 1, 2020",MONST,64,MONTA,78,L,-6.5,L,135.5,O
6,"Jan 25, 2020",MONST,75,ID.ST,64,W,1.5,W,133.5,O
7,"Jan 23, 2020",MONST,62,WEBER,61,W,-3.5,W,133.5,U
8,"Jan 18, 2020",EWASH,71,MONST,58,L,1.5,L,149.5,U
9,"Jan 11, 2020",PORST,77,MONST,76,L,-1.5,L,144.5,O
10,"Jan 9, 2020",MONST,71,IDAHO,68,W,2.5,W,136.5,O
11,"Jan 4, 2020",MONST,53,SUTAH,59,L,-7.5,W,137.0,U
12,"Jan 2, 2020",MONST,59,NCOLO,68,L,-9.0,P,137.5,U
13,"Dec 30, 2019",NARIZ,61,MONST,63,W,-4.5,L,142.0,U
14,"Dec 28, 2019",SACRA,51,MONST,66,W,-1.5,W,126.5,U
15,"Dec 19, 2019",MONST,72,CSBAK,74,L,-4.5,W,133.5,O
16,"Dec 16, 2019",MONST,65,ND.ST,79,L,-8.0,L,134.0,O
17,"Dec 5, 2019",SD.ST,70,MONST,77,W,1.5,W,141.0,O
18,"Nov 30, 2019",WISGB,98,MONST,72,L,-4.5,L,150.5,O
19,"Nov 26, 2019",COLCH,46,MONST,82,W,0.0,,0.0,
20,"Nov 19, 2019",MONST,56,GRCNYN,69,L,-5.5,L,134.5,U
21,"Nov 17, 2019",MONST,52,TNTEC,39,W,7.0,W,133.0,U
22,"Nov 16, 2019",MONST,67,NCGRE,66,W,-15.0,W,136.5,U
23,"Nov 15, 2019",MONST,59,APPST,56,W,-4.0,W,144.5,U
24,"Nov 9, 2019",ROCKY,60,MONST,93,W,0.0,,0.0,
25,"Nov 5, 2019",MONST,73,UT.ST,81,L,-21.5,W,156.0,U
26,"Mar 14, 2019",MONST,84,EWASH,90,L,-2.0,L,152.5,O
27,"Mar 13, 2019",IDAHO,71,MONST,75,W,-12.0,L,153.0,U
28,"Mar 9, 2019",MONST,80,PORST,84,L,-2.5,L,163.5,O
29,"Mar 7, 2019",MONST,67,SACRA,70,L,-1.5,L,151.5,U
