,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ID.ST,63,MONTA,78,W,-12.5,W,140.0,O
1,"Feb 13, 2020",WEBER,37,MONTA,72,W,-8.0,W,140.0,U
2,"Feb 8, 2020",MONTA,82,IDAHO,71,W,7.5,W,136.5,O
3,"Feb 6, 2020",EWASH,82,MONTA,92,W,-3.0,W,146.5,O
4,"Feb 1, 2020",MONST,64,MONTA,78,W,-6.5,W,135.5,O
5,"Jan 30, 2020",MONTA,81,PORST,88,L,-1.0,L,148.5,O
6,"Jan 25, 2020",MONTA,85,WEBER,87,L,2.0,L,134.0,O
7,"Jan 23, 2020",MONTA,77,ID.ST,74,W,5.0,L,132.5,O
8,"Jan 18, 2020",IDAHO,63,MONTA,67,W,-13.0,L,134.0,U
9,"Jan 13, 2020",PORST,70,MONTA,85,W,-6.5,W,143.5,O
10,"Jan 9, 2020",MONTA,90,EWASH,63,W,-5.5,W,149.0,O
11,"Jan 4, 2020",MONTA,66,NCOLO,74,L,-6.0,L,132.0,O
12,"Jan 2, 2020",MONTA,60,SUTAH,58,W,-4.5,W,135.0,U
13,"Dec 30, 2019",SACRA,50,MONTA,52,W,-4.0,L,125.0,U
14,"Dec 28, 2019",NARIZ,72,MONTA,79,W,-6.0,W,136.5,O
15,"Dec 21, 2019",MONTA,82,NEBOM,87,L,-1.5,L,140.0,O
16,"Dec 18, 2019",MONTA,48,OREG,81,L,-18.5,L,132.5,U
17,"Dec 6, 2019",NDAKOT,70,MONTA,77,W,-6.5,W,133.0,O
18,"Dec 1, 2019",MONTA,63,NEWMX,72,L,-10.0,W,139.0,U
19,"Nov 29, 2019",COPIN,62,MONTA,69,W,-12.5,L,144.0,U
20,"Nov 25, 2019",TEXSO,62,MONTA,74,W,-10.0,W,142.5,U
21,"Nov 22, 2019",MONTA,56,WASH,73,L,-13.5,L,129.5,U
22,"Nov 18, 2019",MON.T,74,MONTA,72,L,0.0,,0.0,
23,"Nov 16, 2019",MONTA,46,ARK,64,L,-15.5,L,138.0,U
24,"Nov 10, 2019",MSUNOR,50,MONTA,64,W,0.0,,0.0,
25,"Nov 6, 2019",MONTA,62,STANF,73,L,-9.5,L,145.0,U
26,"Mar 21, 2019",MONTA,55,MICH,74,L,-15.0,L,128.5,O
27,"Mar 16, 2019",EWASH,62,MONTA,68,W,-6.0,P,140.5,U
28,"Mar 15, 2019",WEBER,49,MONTA,78,W,-4.5,W,147.0,U
29,"Mar 14, 2019",SACRA,73,MONTA,79,W,-9.0,L,134.5,O
