,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MORHD,57,MURRAY,85,L,-13.0,L,138.0,O
1,"Feb 13, 2020",EKENT,78,MORHD,71,L,-3.5,L,151.5,U
2,"Feb 8, 2020",MORHD,65,E.ILL,71,L,-6.5,W,138.5,U
3,"Feb 6, 2020",MORHD,58,SIUED,49,W,1.5,W,138.0,U
4,"Feb 1, 2020",TNMAR,77,MORHD,85,W,-4.0,W,154.5,O
5,"Jan 30, 2020",SEMIZ,74,MORHD,90,W,-5.0,W,137.0,O
6,"Jan 25, 2020",MORHD,51,JAXST,72,L,-6.0,L,135.0,U
7,"Jan 23, 2020",MORHD,59,TNTEC,71,L,3.5,L,136.5,U
8,"Jan 18, 2020",MORHD,59,BELMT,77,L,-16.5,L,145.5,U
9,"Jan 16, 2020",MORHD,48,TN.ST,64,L,-5.5,L,146.5,U
10,"Jan 11, 2020",E.ILL,66,MORHD,69,W,-1.5,W,141.5,U
11,"Jan 9, 2020",SIUED,77,MORHD,83,W,-8.0,L,138.0,O
12,"Jan 4, 2020",TNTEC,72,MORHD,83,W,-8.5,W,132.5,O
13,"Jan 2, 2020",JAXST,76,MORHD,72,L,-3.0,L,133.5,O
14,"Dec 28, 2019",ALLOYD,46,MORHD,102,W,0.0,,0.0,
15,"Dec 21, 2019",MORHD,76,OHIO,82,L,-9.0,W,136.5,O
16,"Dec 16, 2019",MARSH,89,MORHD,62,L,-2.0,L,148.0,O
17,"Dec 7, 2019",MORHD,50,ILLST,61,L,-6.0,L,138.5,U
18,"Dec 4, 2019",IUPUI,51,MORHD,56,W,-7.0,L,140.5,U
19,"Nov 30, 2019",MORHD,57,N.ALAB,67,L,-1.0,L,136.5,U
20,"Nov 26, 2019",MORHD,84,W&M,95,L,-6.0,L,137.0,O
21,"Nov 22, 2019",MORHD,50,BUTLR,68,L,-18.5,W,131.0,U
22,"Nov 20, 2019",MORHD,52,MIZZU,70,L,-18.5,W,130.0,U
23,"Nov 16, 2019",MD-ES,53,MORHD,76,W,-16.5,W,131.5,U
24,"Nov 14, 2019",MORHD,77,PRESB,55,W,-1.5,W,139.5,U
25,"Nov 7, 2019",SPLDNG,44,MORHD,92,W,-46.5,W,139.5,U
26,"Nov 5, 2019",SAMFD,86,MORHD,90,W,4.5,W,155.5,O
27,"Mar 7, 2019",MORHD,81,APEAY,95,L,-9.0,L,149.0,O
28,"Mar 6, 2019",SIUED,68,MORHD,72,W,-5.0,L,146.5,U
29,"Mar 2, 2019",MORHD,78,EKENT,77,W,-5.5,W,159.0,U
