,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",MORGN,78,SC.ST,72,W,-1.5,W,140.0,O
1,"Feb 15, 2020",MORGN,57,NORFK,62,L,-6.5,W,133.5,U
2,"Feb 10, 2020",NCCEN,58,MORGN,57,L,-1.0,L,130.5,U
3,"Feb 8, 2020",MD-ES,53,MORGN,61,W,-10.0,L,130.5,U
4,"Feb 1, 2020",MORGN,89,HOWRD,83,W,5.0,W,149.0,O
5,"Jan 27, 2020",MORGN,56,MD-ES,50,W,6.5,L,132.0,U
6,"Jan 25, 2020",MORGN,50,COPIN,48,W,-2.5,W,149.5,U
7,"Jan 20, 2020",NCA&T,76,MORGN,70,L,-3.5,L,144.0,O
8,"Jan 18, 2020",HOWRD,58,MORGN,68,W,-13.0,L,149.0,U
9,"Jan 13, 2020",MORGN,78,BCOOK,85,L,-5.0,L,150.0,O
10,"Jan 11, 2020",MORGN,68,FLA&M,77,L,0.0,,139.5,O
11,"Jan 6, 2020",SC.ST,63,MORGN,77,W,-5.5,W,142.5,U
12,"Jan 4, 2020",MORGN,81,DELST,68,W,5.5,W,154.5,U
13,"Dec 31, 2019",MORGN,82,CSNOR,93,L,-8.0,L,151.0,O
14,"Dec 28, 2019",MORGN,74,LOYMA,71,W,-10.0,W,135.0,O
15,"Dec 16, 2019",CNUTHL,72,MORGN,96,W,0.0,,0.0,
16,"Dec 14, 2019",MORGN,68,LASAL,85,L,-10.5,L,139.5,O
17,"Dec 7, 2019",LONGW,65,MORGN,73,W,-2.0,W,138.5,U
18,"Dec 4, 2019",TOWSN,76,MORGN,59,L,6.0,L,136.5,U
19,"Nov 29, 2019",MORGN,57,OHIOS,90,L,-27.5,L,130.0,O
20,"Nov 24, 2019",MORGN,112,EVANS,115,L,-10.0,W,135.5,O
21,"Nov 23, 2019",MORGN,57,WISML,62,L,-6.0,W,137.0,U
22,"Nov 22, 2019",LIBRT,89,MORGN,48,L,14.5,L,125.5,O
23,"Nov 19, 2019",REGENT,52,MORGN,88,W,0.0,,0.0,
24,"Nov 16, 2019",MORGN,68,GWASH,64,W,-8.5,W,131.5,O
25,"Nov 13, 2019",STFPA,71,MORGN,65,L,2.5,L,147.5,U
26,"Nov 9, 2019",MORGN,57,TEMPL,75,L,-18.5,W,145.5,U
27,"Nov 6, 2019",CENPEN,44,MORGN,71,W,0.0,,0.0,
28,"Mar 12, 2019",COPIN,81,MORGN,71,L,-3.0,L,144.0,O
29,"Mar 7, 2019",COPIN,83,MORGN,69,L,-7.5,L,144.5,O
