,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",MTSTM,61,WAGNR,67,L,2.0,L,132.0,U
1,"Feb 15, 2020",STFPA,70,MTSTM,55,L,2.5,L,137.0,U
2,"Feb 13, 2020",ROBMO,77,MTSTM,60,L,-2.0,L,125.0,O
3,"Feb 8, 2020",MTSTM,67,STFNY,70,L,1.0,L,130.0,O
4,"Feb 6, 2020",MTSTM,67,LIU,63,W,-4.0,W,137.0,U
5,"Feb 1, 2020",MTSTM,75,FDU,85,L,-1.0,L,133.5,O
6,"Jan 30, 2020",MTSTM,53,SACRD,58,L,-4.5,L,132.0,U
7,"Jan 25, 2020",BRYANT,76,MTSTM,79,W,-1.0,W,130.5,O
8,"Jan 20, 2020",STFNY,39,MTSTM,59,W,-5.5,W,129.0,U
9,"Jan 18, 2020",CCONN,52,MTSTM,79,W,-12.5,W,127.0,O
10,"Jan 11, 2020",MTSTM,67,BRYANT,65,W,-6.5,W,131.5,O
11,"Jan 9, 2020",MTSTM,61,MERRIM,64,L,-2.0,L,120.5,O
12,"Jan 4, 2020",LIU,73,MTSTM,82,W,-2.0,W,139.0,O
13,"Jan 2, 2020",WAGNR,66,MTSTM,47,L,-5.5,L,134.0,U
14,"Dec 27, 2019",COPIN,55,MTSTM,79,W,-4.5,W,137.5,U
15,"Dec 20, 2019",MTSTM,48,NAVY,59,L,-8.0,L,116.5,U
16,"Dec 17, 2019",AMERN,82,MTSTM,76,L,0.0,L,133.0,O
17,"Dec 7, 2019",LOYMD,64,MTSTM,48,L,-2.0,L,134.0,U
18,"Dec 3, 2019",MTSTM,67,GRCNYN,75,L,-6.0,L,129.0,O
19,"Nov 30, 2019",MTSTM,73,HOWRD,56,W,8.0,W,138.0,U
20,"Nov 26, 2019",UTVAL,61,MTSTM,64,W,3.5,W,133.0,U
21,"Nov 22, 2019",MTSTM,62,KENTY,82,L,-27.5,W,129.0,O
22,"Nov 20, 2019",MTSTM,51,UAB,58,L,-10.5,W,127.0,U
23,"Nov 15, 2019",MTSTM,61,LAMAR,76,L,-5.5,L,136.5,O
24,"Nov 12, 2019",MTSTM,46,WASH,56,L,-22.0,W,137.0,U
25,"Nov 9, 2019",GETTY,58,MTSTM,75,W,0.0,,0.0,
26,"Nov 6, 2019",MTSTM,68,GTOWN,81,L,-21.5,W,154.5,U
27,"Mar 2, 2019",MTSTM,73,STFNY,71,W,-8.5,W,135.5,O
28,"Feb 28, 2019",FDU,65,MTSTM,59,L,3.5,L,144.5,U
29,"Feb 23, 2019",MTSTM,58,BRYANT,81,L,-2.0,L,143.5,U
