,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MORHD,57,MURRAY,85,W,-13.0,W,138.0,O
1,"Feb 13, 2020",MURRAY,68,APEAY,71,L,-3.0,P,145.0,U
2,"Feb 8, 2020",MURRAY,73,TN.ST,65,W,4.0,W,145.0,U
3,"Feb 6, 2020",MURRAY,64,BELMT,71,L,-6.0,L,150.5,U
4,"Feb 1, 2020",SIUED,55,MURRAY,74,W,-17.0,W,142.5,U
5,"Jan 30, 2020",E.ILL,70,MURRAY,73,W,-10.5,L,145.5,U
6,"Jan 25, 2020",TN.ST,64,MURRAY,76,W,-12.0,P,147.5,U
7,"Jan 23, 2020",BELMT,75,MURRAY,85,W,-1.0,W,150.0,O
8,"Jan 18, 2020",MURRAY,96,SEMIZ,91,W,10.5,L,135.5,O
9,"Jan 16, 2020",MURRAY,84,TNMAR,62,W,6.5,W,153.0,U
10,"Jan 11, 2020",MURRAY,81,TNTEC,69,W,11.5,W,134.5,O
11,"Jan 9, 2020",MURRAY,72,JAXST,68,W,5.0,L,136.0,O
12,"Jan 4, 2020",SEMIZ,59,MURRAY,81,W,-14.5,W,136.0,O
13,"Jan 2, 2020",TNMAR,76,MURRAY,89,W,-12.5,W,145.5,O
14,"Dec 28, 2019",CUMTN,46,MURRAY,81,W,0.0,,0.0,
15,"Dec 21, 2019",MURRAY,76,EVANS,78,L,2.5,L,145.0,O
16,"Dec 16, 2019",KENNE,38,MURRAY,74,W,-19.5,W,135.5,U
17,"Dec 7, 2019",MIDTN,52,MURRAY,85,W,-8.5,W,142.5,U
18,"Dec 3, 2019",MURRAY,69,MIZST,71,L,-4.5,W,130.0,O
19,"Nov 27, 2019",DRAKE,63,MURRAY,53,L,1.5,L,132.5,U
20,"Nov 26, 2019",WEBER,68,MURRAY,69,W,-7.5,L,128.0,O
21,"Nov 25, 2019",MURRAY,64,LASAL,75,L,7.5,L,137.5,O
22,"Nov 19, 2019",S.ILL,66,MURRAY,79,W,-10.0,W,125.5,O
23,"Nov 16, 2019",BRESC,48,MURRAY,114,W,0.0,,0.0,
24,"Nov 12, 2019",MURRAY,63,TENN,82,L,-11.5,L,142.0,O
25,"Nov 9, 2019",SUTHR,49,MURRAY,69,W,-21.0,L,142.0,U
26,"Mar 23, 2019",MURRAY,62,FLAST,90,L,-4.0,L,146.5,O
27,"Mar 21, 2019",MURRAY,83,MARQ,64,W,-3.0,W,154.0,U
28,"Mar 9, 2019",MURRAY,77,BELMT,65,W,-2.0,W,156.0,U
29,"Mar 8, 2019",JAXST,74,MURRAY,76,W,-5.0,L,148.0,O
