,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",NAVY,62,AMERN,71,L,-4.5,L,128.5,O
1,"Feb 15, 2020",BOSTU,77,NAVY,54,L,1.5,L,129.5,O
2,"Feb 12, 2020",BUCKN,59,NAVY,60,W,-3.5,L,130.0,U
3,"Feb 8, 2020",NAVY,60,COLGT,67,L,-8.5,W,134.0,U
4,"Feb 5, 2020",AMERN,62,NAVY,54,L,-2.5,L,133.0,U
5,"Feb 1, 2020",NAVY,73,LOYMD,79,L,2.0,L,137.5,O
6,"Jan 29, 2020",HOLYC,66,NAVY,81,W,-10.5,W,133.0,O
7,"Jan 25, 2020",ARMY,73,NAVY,66,L,-5.0,L,129.5,O
8,"Jan 22, 2020",NAVY,60,BOSTU,58,W,-5.5,W,128.0,U
9,"Jan 18, 2020",LAFAY,66,NAVY,68,W,-1.5,W,126.0,O
10,"Jan 15, 2020",NAVY,88,LEHIH,83,W,-2.5,W,124.5,O
11,"Jan 11, 2020",COLGT,70,NAVY,63,L,5.5,L,126.5,O
12,"Jan 8, 2020",NAVY,60,BUCKN,56,W,-5.5,W,128.0,U
13,"Jan 5, 2020",NAVY,61,HOLYC,63,L,7.0,L,127.5,U
14,"Jan 2, 2020",LEHIH,58,NAVY,64,W,-3.5,W,125.0,U
15,"Dec 29, 2019",NAVY,56,VIRGA,65,L,-17.5,W,100.5,O
16,"Dec 20, 2019",MTSTM,48,NAVY,59,W,-8.0,W,116.5,U
17,"Dec 7, 2019",MARST,51,NAVY,53,W,-8.5,L,111.0,U
18,"Dec 2, 2019",NAVY,45,BRYANT,60,L,-1.0,L,136.5,U
19,"Nov 30, 2019",NAVY,76,BROWN,56,W,-7.0,W,126.0,O
20,"Nov 26, 2019",CORNL,61,NAVY,72,W,-2.0,W,120.5,O
21,"Nov 22, 2019",LIPSC,65,NAVY,61,L,1.5,L,129.0,U
22,"Nov 19, 2019",NAVY,48,LIBRT,55,L,-15.5,W,117.0,U
23,"Nov 10, 2019",WASMD,56,NAVY,87,W,0.0,,0.0,
24,"Nov 8, 2019",E.CAR,57,NAVY,62,W,2.0,W,134.5,U
25,"Nov 5, 2019",NAVY,55,GMASN,68,L,-11.5,L,139.5,U
26,"Mar 10, 2019",NAVY,70,COLGT,80,L,-11.5,W,138.0,O
27,"Mar 7, 2019",NAVY,60,AMERN,56,W,-8.0,W,137.0,U
28,"Mar 2, 2019",NAVY,79,BOSTU,74,W,-6.5,W,140.5,O
29,"Feb 27, 2019",BUCKN,53,NAVY,64,W,9.0,W,149.0,U
