,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",NEV,88,NEWMX,74,W,1.0,W,161.5,O
1,"Feb 12, 2020",NEV,82,UNLV,79,W,-2.0,W,150.0,O
2,"Feb 8, 2020",SJ.ST,77,NEV,95,W,-15.5,W,155.0,O
3,"Feb 4, 2020",AIRFO,54,NEV,88,W,-9.0,W,153.5,U
4,"Feb 1, 2020",NEV,64,BOISE,73,L,-5.0,L,154.5,U
5,"Jan 29, 2020",NEV,91,COLST,92,L,-4.5,W,154.0,O
6,"Jan 25, 2020",NEWMX,74,NEV,96,W,-10.0,W,153.5,O
7,"Jan 22, 2020",UNLV,72,NEV,86,W,-4.5,W,147.5,O
8,"Jan 18, 2020",NEV,55,SD.ST,68,L,-13.5,W,140.0,U
9,"Jan 14, 2020",WYOM,67,NEV,68,W,-14.5,L,133.0,O
10,"Jan 11, 2020",NEV,70,UT.ST,80,L,-9.5,L,145.5,O
11,"Jan 8, 2020",NEV,68,SJ.ST,70,L,10.0,L,151.5,U
12,"Jan 4, 2020",BOISE,66,NEV,83,W,-3.5,W,152.0,U
13,"Jan 1, 2020",COLST,61,NEV,67,W,-7.5,L,150.0,U
14,"Dec 22, 2019",STMAR,68,NEV,63,L,8.0,W,144.0,U
15,"Dec 18, 2019",TEXSO,73,NEV,91,W,-16.5,W,155.5,O
16,"Dec 10, 2019",NEV,42,BYU,75,L,-8.5,L,153.5,U
17,"Dec 7, 2019",NEV,100,AIRFO,85,W,3.0,W,148.5,O
18,"Dec 4, 2019",SACLA,67,NEV,98,W,-5.5,W,151.5,O
19,"Nov 25, 2019",NEV,77,BOWLG,62,W,3.0,W,149.5,U
20,"Nov 24, 2019",VALPO,59,NEV,84,W,-3.5,W,150.5,U
21,"Nov 22, 2019",FORDM,60,NEV,74,W,-6.0,W,134.0,P
22,"Nov 19, 2019",NEV,71,DAVID,91,L,-9.5,L,148.0,O
23,"Nov 16, 2019",USC,76,NEV,66,L,3.5,L,154.5,U
24,"Nov 12, 2019",TEXAR,73,NEV,80,W,-5.5,W,143.5,O
25,"Nov 9, 2019",LOYMA,67,NEV,72,W,-9.0,L,142.5,U
26,"Nov 5, 2019",UTAH,79,NEV,74,L,-4.5,L,148.0,O
27,"Mar 21, 2019",FLA,70,NEV,61,L,-3.0,L,135.5,U
28,"Mar 15, 2019",SD.ST,65,NEV,56,L,-10.5,L,141.5,U
29,"Mar 14, 2019",BOISE,69,NEV,77,W,-11.5,L,143.5,O
