,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NH,59,UMBC,65,L,-3.5,L,131.5,U
1,"Feb 12, 2020",NH,50,VERMT,74,L,-15.0,L,131.0,U
2,"Feb 8, 2020",STONY,64,NH,81,W,6.0,W,136.0,O
3,"Feb 1, 2020",NH,75,LOWELL,77,L,-3.0,W,146.0,O
4,"Jan 29, 2020",VERMT,56,NH,43,L,13.0,P,128.0,U
5,"Jan 25, 2020",NH,77,BINGH,69,W,1.0,W,141.0,O
6,"Jan 18, 2020",UMBC,60,NH,65,W,-3.5,W,131.0,U
7,"Jan 15, 2020",ALBNY,76,NH,73,L,2.0,L,132.0,O
8,"Jan 11, 2020",NH,48,STONY,73,L,-12.0,L,136.0,U
9,"Jan 8, 2020",MAINE,51,NH,57,W,-7.5,L,128.0,U
10,"Jan 4, 2020",NH,52,HARTF,61,L,0.0,,138.5,U
11,"Dec 30, 2019",DART,56,NH,70,W,3.5,W,131.0,U
12,"Dec 22, 2019",NH,62,UCONN,88,L,-19.0,L,135.0,O
13,"Dec 18, 2019",NH,64,MARST,56,W,0.0,,124.5,U
14,"Dec 7, 2019",NH,67,QUINN,75,L,-7.5,L,146.0,U
15,"Dec 4, 2019",MEMARI,37,NH,91,W,0.0,,0.0,
16,"Nov 30, 2019",NH,69,FLAIN,70,L,-15.0,W,153.5,U
17,"Nov 26, 2019",BRYANT,76,NH,87,W,1.5,W,147.5,O
18,"Nov 23, 2019",NH,71,JMU,78,L,-8.5,W,149.5,U
19,"Nov 19, 2019",NH,77,CCONN,63,W,5.5,W,136.5,O
20,"Nov 16, 2019",NH,70,BOSTU,84,L,-10.0,L,134.5,O
21,"Nov 12, 2019",NH,61,STJON,74,L,-21.5,W,146.5,U
22,"Nov 9, 2019",HOLYC,83,NH,87,W,-1.5,W,137.5,O
23,"Nov 5, 2019",CURRY,29,NH,93,W,0.0,,0.0,
24,"Mar 5, 2019",MAINE,53,NH,60,W,-2.0,W,120.5,U
25,"Mar 2, 2019",NH,53,UMBC,56,L,-14.0,W,121.0,U
26,"Feb 27, 2019",NH,62,ALBNY,58,W,-12.0,W,126.0,U
27,"Feb 21, 2019",HARTF,70,NH,50,L,10.0,L,134.5,U
28,"Feb 16, 2019",STONY,66,NH,64,L,12.0,W,126.0,O
29,"Feb 13, 2019",NH,44,VERMT,73,L,-23.5,L,126.5,U
