,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",UTVAL,82,NMXST,84,W,-13.5,L,132.5,O
1,"Feb 13, 2020",SEATT,64,NMXST,72,W,-10.0,L,134.0,O
2,"Feb 8, 2020",NMXST,67,UMKC,61,W,7.0,L,121.5,O
3,"Feb 6, 2020",NMXST,71,CHIST,49,W,22.5,L,132.0,U
4,"Feb 1, 2020",GRCNYN,52,NMXST,72,W,-11.0,W,133.0,U
5,"Jan 30, 2020",CSBAK,57,NMXST,61,W,-10.5,L,127.0,U
6,"Jan 25, 2020",NMXST,67,UTRGV,62,W,6.0,L,133.5,U
7,"Jan 18, 2020",NMXST,75,SEATT,67,W,4.0,W,133.5,O
8,"Jan 16, 2020",NMXST,70,UTVAL,56,W,9.0,W,136.5,U
9,"Jan 11, 2020",UMKC,71,NMXST,74,W,-15.5,L,128.0,O
10,"Jan 9, 2020",CHIST,54,NMXST,93,W,-31.0,W,138.0,O
11,"Jan 4, 2020",NMXST,86,CALBAP,71,W,4.5,W,137.5,O
12,"Dec 29, 2019",NRTHNM,30,NMXST,104,W,0.0,,0.0,
13,"Dec 22, 2019",NMXST,58,MISST,52,W,-4.5,W,129.5,U
14,"Dec 18, 2019",ARKPB,40,NMXST,65,W,-24.5,W,123.0,U
15,"Dec 14, 2019",NMXST,62,NEWMX,69,L,-3.5,L,144.5,U
16,"Dec 10, 2019",NMXST,72,DENVR,67,W,11.5,L,130.0,O
17,"Dec 7, 2019",NMXST,54,WASST,63,L,4.0,L,135.0,U
18,"Dec 3, 2019",UTEP,56,NMXST,59,W,-5.5,L,123.5,U
19,"Nov 27, 2019",NMXST,64,GMASN,68,L,5.5,L,129.0,O
20,"Nov 26, 2019",NMXST,65,S.FLA,45,W,2.0,W,120.5,U
21,"Nov 25, 2019",COLST,70,NMXST,78,W,-4.5,W,132.5,O
22,"Nov 21, 2019",NEWMX,78,NMXST,77,L,-4.0,L,144.5,O
23,"Nov 17, 2019",NMXST,53,ARIZ,83,L,-12.5,L,136.5,U
24,"Nov 14, 2019",SUTHR,63,NMXST,79,W,-23.5,L,133.5,O
25,"Nov 12, 2019",NMXST,50,UTEP,65,L,2.5,L,134.0,U
26,"Nov 5, 2019",W.NM,46,NMXST,92,W,0.0,,0.0,
27,"Mar 21, 2019",NMXST,77,AUBRN,78,L,-6.0,W,146.0,O
28,"Mar 16, 2019",GRCNYN,57,NMXST,89,W,-4.0,W,137.0,O
29,"Mar 15, 2019",UTRGV,72,NMXST,79,W,-9.5,L,137.5,O
