,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",UNLV,78,NEWMX,73,L,-3.0,L,155.5,U
1,"Feb 11, 2020",NEWMX,59,SD.ST,82,L,-15.5,L,149.5,U
2,"Feb 8, 2020",WYOM,68,NEWMX,97,W,-9.5,W,139.0,O
3,"Feb 1, 2020",NEWMX,77,FRSNO,82,L,-9.5,W,142.0,O
4,"Jan 29, 2020",SD.ST,85,NEWMX,57,L,11.5,L,140.5,O
5,"Jan 25, 2020",NEWMX,74,NEV,96,L,-10.0,L,153.5,O
6,"Jan 21, 2020",SJ.ST,59,NEWMX,86,W,-8.5,W,160.5,U
7,"Jan 18, 2020",NEWMX,78,UNLV,99,L,-6.0,L,150.0,O
8,"Jan 15, 2020",NEWMX,72,COLST,105,L,-4.5,L,154.5,O
9,"Jan 11, 2020",AIRFO,78,NEWMX,84,W,-8.0,L,153.0,O
10,"Jan 7, 2020",FRSNO,64,NEWMX,78,W,-6.5,W,141.5,O
11,"Jan 1, 2020",NEWMX,85,SJ.ST,88,L,10.0,L,153.0,O
12,"Dec 29, 2019",UCDAV,69,NEWMX,74,W,-13.0,L,147.5,U
13,"Dec 22, 2019",HOUBPT,88,NEWMX,107,W,-20.5,L,174.5,O
14,"Dec 17, 2019",GRCNYN,71,NEWMX,91,W,-11.0,W,148.0,O
15,"Dec 14, 2019",NMXST,62,NEWMX,69,W,-3.5,W,144.5,U
16,"Dec 7, 2019",NEWMX,79,WYOM,65,W,8.0,W,132.0,O
17,"Dec 4, 2019",BOISE,78,NEWMX,80,W,-4.5,L,151.0,O
18,"Dec 1, 2019",MONTA,63,NEWMX,72,W,-10.0,L,139.0,U
19,"Nov 26, 2019",WISCN,50,NEWMX,59,W,6.5,W,134.0,U
20,"Nov 25, 2019",AUBRN,84,NEWMX,59,L,9.5,L,157.0,U
21,"Nov 21, 2019",NEWMX,78,NMXST,77,W,-4.0,W,144.5,O
22,"Nov 19, 2019",NEWMX,63,UTEP,66,L,-2.0,L,146.5,U
23,"Nov 16, 2019",MCNEE,80,NEWMX,90,W,-18.0,L,154.0,O
24,"Nov 13, 2019",WISGB,78,NEWMX,93,W,-14.5,W,162.0,O
25,"Nov 9, 2019",CSNOR,70,NEWMX,97,W,-15.0,W,159.0,O
26,"Nov 6, 2019",ENEWMX,71,NEWMX,92,W,-20.5,W,159.5,O
27,"Mar 14, 2019",NEWMX,83,UT.ST,91,L,-13.0,W,148.0,O
28,"Mar 13, 2019",WYOM,68,NEWMX,78,W,-9.0,W,147.5,U
29,"Mar 9, 2019",NEWMX,81,WYOM,88,L,5.0,L,147.5,O
