,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MONMO,72,NIAGR,77,W,3.5,W,144.5,O
1,"Feb 12, 2020",CANIS,66,NIAGR,69,W,2.0,W,141.0,U
2,"Feb 9, 2020",NIAGR,58,RIDER,73,L,-9.0,L,143.0,U
3,"Feb 7, 2020",NIAGR,59,MANHT,77,L,-6.5,L,128.5,O
4,"Feb 2, 2020",QUINN,59,NIAGR,75,W,3.0,W,144.0,U
5,"Jan 31, 2020",MARST,67,NIAGR,48,L,-5.5,L,130.0,U
6,"Jan 26, 2020",NIAGR,53,STPET,58,L,-6.0,W,133.0,U
7,"Jan 24, 2020",NIAGR,71,MONMO,82,L,-7.5,L,142.0,O
8,"Jan 19, 2020",SIENA,71,NIAGR,72,W,3.0,W,143.0,P
9,"Jan 17, 2020",RIDER,68,NIAGR,70,W,6.0,W,145.0,U
10,"Jan 12, 2020",NIAGR,70,IONA,69,W,-8.5,W,145.0,U
11,"Jan 10, 2020",NIAGR,56,QUINN,67,L,-7.5,L,146.0,U
12,"Jan 5, 2020",MANHT,67,NIAGR,62,L,0.0,L,131.0,U
13,"Jan 3, 2020",FAIRF,66,NIAGR,75,W,2.0,W,129.5,O
14,"Dec 28, 2019",NIAGR,57,SYRA,71,L,-22.5,W,144.0,U
15,"Dec 21, 2019",NIAGR,72,BUFF,92,L,-16.0,L,157.5,O
16,"Dec 18, 2019",NIAGR,70,STBON,87,L,-14.0,L,133.5,O
17,"Dec 14, 2019",NIAGR,80,ALBNY,84,L,-8.5,W,136.0,O
18,"Dec 8, 2019",COLGT,82,NIAGR,93,W,9.0,W,142.5,O
19,"Dec 1, 2019",NIAGR,65,NORFK,61,W,-8.5,W,132.5,U
20,"Nov 27, 2019",NIAGR,54,IPFW,77,L,-9.5,L,144.0,U
21,"Nov 18, 2019",BRYANT,73,NIAGR,62,L,3.5,L,147.0,U
22,"Nov 13, 2019",NIAGR,80,SFA,89,L,-12.0,W,146.0,O
23,"Nov 10, 2019",NIAGR,39,RUTGR,86,L,-21.5,L,144.0,U
24,"Nov 8, 2019",NIAGR,64,DREXL,72,L,-9.5,W,145.5,U
25,"Mar 7, 2019",NIAGR,72,MONMO,76,L,-2.0,L,137.0,O
26,"Mar 3, 2019",SIENA,72,NIAGR,65,L,0.0,L,133.5,O
27,"Feb 27, 2019",NIAGR,86,CANIS,84,W,-5.5,W,148.5,O
28,"Feb 24, 2019",NIAGR,60,STPET,78,L,-2.0,L,134.0,O
29,"Feb 22, 2019",NIAGR,81,RIDER,97,L,-8.0,L,156.5,O
