,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",NICHL,73,NWST,69,W,3.0,W,144.0,U
1,"Feb 15, 2020",SELA,71,NICHL,81,W,-12.5,L,143.0,O
2,"Feb 12, 2020",LAMAR,65,NICHL,69,W,-7.5,L,141.0,U
3,"Feb 8, 2020",SAMHO,82,NICHL,88,W,-2.0,W,143.5,O
4,"Feb 5, 2020",NICHL,64,SFA,70,L,-10.0,W,139.0,U
5,"Jan 29, 2020",NICHL,74,MCNEE,80,L,-2.0,L,144.0,O
6,"Jan 25, 2020",NICHL,77,NEWOR,72,W,4.0,W,142.0,O
7,"Jan 22, 2020",HOUBPT,83,NICHL,91,W,-17.5,L,167.0,O
8,"Jan 18, 2020",C.ARK,72,NICHL,79,W,-9.0,L,147.5,O
9,"Jan 15, 2020",NWST,73,NICHL,72,L,-12.5,L,140.0,O
10,"Jan 11, 2020",NICHL,69,SELA,58,W,4.0,W,140.0,U
11,"Jan 8, 2020",NICHL,61,LAMAR,52,W,-2.0,W,135.5,U
12,"Jan 4, 2020",NICHL,70,SAMHO,58,W,-10.0,W,148.0,U
13,"Jan 2, 2020",INCAR,60,NICHL,76,W,-13.5,W,140.5,U
14,"Dec 21, 2019",NICHL,61,ABILE,79,L,-2.0,L,137.0,O
15,"Dec 18, 2019",TEXCC,58,NICHL,64,W,-7.5,L,130.0,U
16,"Dec 14, 2019",NICHL,57,W.VA,83,L,-19.5,L,143.0,U
17,"Dec 11, 2019",CARVER,44,NICHL,118,W,0.0,,0.0,
18,"Nov 26, 2019",BLUMNT,56,NICHL,102,W,0.0,,0.0,
19,"Nov 24, 2019",NICHL,82,UMBC,72,W,-1.0,W,128.5,O
20,"Nov 22, 2019",NICHL,54,NCA&T,66,L,9.0,L,134.5,U
21,"Nov 19, 2019",NICHL,65,RHODEI,70,L,-12.0,W,144.0,U
22,"Nov 16, 2019",NICHL,65,LSU,75,L,-21.0,W,151.5,U
23,"Nov 13, 2019",PQUIN,66,NICHL,81,W,0.0,,0.0,
24,"Nov 9, 2019",NICHL,75,PITT,70,W,-18.5,W,139.0,O
25,"Nov 5, 2019",NICHL,70,ILL,78,L,-22.5,W,151.5,U
26,"Mar 9, 2019",SELA,63,NICHL,69,W,1.5,W,140.0,U
27,"Mar 6, 2019",NWST,60,NICHL,83,W,-6.0,W,144.5,U
28,"Mar 2, 2019",NEWOR,80,NICHL,70,L,1.5,L,140.0,O
29,"Feb 27, 2019",MCNEE,84,NICHL,75,L,-4.5,L,145.5,O
