,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",COPIN,60,NORFK,80,W,-10.0,W,138.5,O
1,"Feb 15, 2020",MORGN,57,NORFK,62,W,-6.5,L,133.5,U
2,"Feb 8, 2020",DELST,57,NORFK,85,W,-14.5,W,144.0,U
3,"Feb 3, 2020",NORFK,63,NCCEN,69,L,-4.0,L,128.0,O
4,"Feb 1, 2020",NORFK,68,NCA&T,74,L,-1.0,L,141.0,O
5,"Jan 27, 2020",FLA&M,67,NORFK,95,W,-7.0,W,130.5,O
6,"Jan 25, 2020",SC.ST,62,NORFK,73,W,-6.5,W,134.5,O
7,"Jan 18, 2020",MD-ES,52,NORFK,62,W,-12.5,L,125.0,U
8,"Jan 11, 2020",NORFK,71,HOWRD,63,W,9.5,L,138.5,U
9,"Jan 6, 2020",NORFK,82,COPIN,59,W,1.0,W,140.5,O
10,"Jan 4, 2020",BCOOK,72,NORFK,85,W,-1.5,W,136.0,O
11,"Dec 29, 2019",NORFK,65,STONY,81,L,-12.0,L,126.5,O
12,"Dec 21, 2019",DREXL,53,NORFK,49,L,4.5,W,132.5,U
13,"Dec 20, 2019",BOWLG,67,NORFK,72,W,10.5,W,136.5,O
14,"Dec 15, 2019",NORFK,45,LOYCH,64,L,-21.0,W,128.0,U
15,"Dec 7, 2019",NORFK,53,HAMPT,64,L,-2.5,L,142.0,U
16,"Dec 4, 2019",NORFK,59,S.ILL,76,L,-9.0,L,122.0,O
17,"Dec 1, 2019",NIAGR,65,NORFK,61,L,-8.5,L,132.5,U
18,"Nov 27, 2019",NORFK,71,MONMO,75,L,-7.0,W,127.0,O
19,"Nov 26, 2019",CALDW,64,NORFK,54,L,0.0,,0.0,
20,"Nov 22, 2019",NORFK,59,NWEST,70,L,-13.0,W,126.0,O
21,"Nov 19, 2019",NORFK,57,BRAD,69,L,-13.0,W,132.5,U
22,"Nov 14, 2019",NENEAP,54,NORFK,113,W,0.0,,0.0,
23,"Nov 12, 2019",NORFK,55,MISS,68,L,-24.5,W,140.5,U
24,"Nov 8, 2019",PSTWBR,53,NORFK,93,W,0.0,,0.0,
25,"Nov 5, 2019",GRNBRO,59,NORFK,100,W,0.0,,0.0,
26,"Mar 25, 2019",NORFK,60,COLO,76,L,-14.0,L,146.5,U
27,"Mar 20, 2019",NORFK,80,ALA,79,W,-16.0,W,146.5,O
28,"Mar 16, 2019",NCCEN,50,NORFK,47,L,-4.5,L,135.0,U
29,"Mar 15, 2019",HOWRD,69,NORFK,75,W,-5.0,W,155.0,U
