,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",N.ALAB,67,N.FLA,80,L,-10.5,L,153.5,U
1,"Feb 13, 2020",N.ALAB,64,STETS,75,L,-2.0,L,131.0,O
2,"Feb 8, 2020",LIBRT,74,N.ALAB,56,L,9.5,L,125.0,O
3,"Feb 6, 2020",LIPSC,73,N.ALAB,71,L,-3.0,L,141.5,O
4,"Feb 1, 2020",N.ALAB,83,JAXVL,85,L,-3.0,W,129.5,O
5,"Jan 30, 2020",N.ALAB,78,NJIT,74,W,-4.5,W,132.5,O
6,"Jan 23, 2020",N.ALAB,78,KENNE,58,W,7.5,W,131.5,O
7,"Jan 18, 2020",FLAGC,65,N.ALAB,70,W,-3.5,W,127.5,O
8,"Jan 16, 2020",STETS,54,N.ALAB,49,L,-6.0,L,129.5,U
9,"Jan 11, 2020",N.ALAB,82,LIPSC,69,W,-6.5,W,139.5,O
10,"Jan 9, 2020",N.ALAB,52,LIBRT,63,L,-19.0,W,123.5,U
11,"Jan 4, 2020",N.FLA,81,N.ALAB,65,L,3.5,L,146.5,U
12,"Jan 2, 2020",JAXVL,57,N.ALAB,62,W,-1.0,W,133.0,U
13,"Dec 28, 2019",N.ALAB,71,FLAST,88,L,-26.0,W,140.5,O
14,"Dec 20, 2019",N.ALAB,80,ALA&M,92,L,5.0,L,138.5,O
15,"Dec 17, 2019",N.ALAB,56,UAB,63,L,-9.5,W,125.5,U
16,"Dec 8, 2019",BIRSOU,50,N.ALAB,78,W,0.0,,0.0,
17,"Dec 4, 2019",N.ALAB,63,TROY,71,L,-1.0,L,137.0,U
18,"Nov 30, 2019",MORHD,57,N.ALAB,67,W,-1.0,W,136.5,U
19,"Nov 27, 2019",MSVAL,50,N.ALAB,73,W,-19.5,W,147.5,U
20,"Nov 22, 2019",N.ALAB,61,LATEC,82,L,-16.5,L,138.0,O
21,"Nov 19, 2019",N.ALAB,73,SD.ST,78,L,-9.5,W,143.5,O
22,"Nov 16, 2019",SAMFD,55,N.ALAB,61,W,3.5,W,149.0,U
23,"Nov 12, 2019",N.ALAB,65,INDY,91,L,-22.5,L,140.5,O
24,"Nov 10, 2019",CARVER,64,N.ALAB,95,W,0.0,,0.0,
25,"Nov 6, 2019",N.ALAB,55,S.CAR,77,L,-20.0,L,146.5,U
26,"Mar 4, 2019",N.ALAB,66,N.FLA,76,L,-8.0,L,148.0,U
27,"Mar 1, 2019",LIPSC,87,N.ALAB,75,L,14.5,W,147.5,O
28,"Feb 26, 2019",JAXVL,55,N.ALAB,69,W,2.0,W,147.0,U
29,"Feb 23, 2019",N.ALAB,60,STETS,63,L,-1.0,L,145.5,U
