,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",NCCEN,60,NCA&T,77,W,-1.5,W,135.5,O
1,"Feb 10, 2020",NCA&T,60,FLA&M,79,L,-1.5,L,145.5,U
2,"Feb 8, 2020",NCA&T,73,BCOOK,78,L,-2.5,L,158.5,U
3,"Feb 3, 2020",SC.ST,63,NCA&T,78,W,-7.5,W,148.5,U
4,"Feb 1, 2020",NORFK,68,NCA&T,74,W,-1.0,W,141.0,O
5,"Jan 27, 2020",DELST,67,NCA&T,82,W,-14.5,W,159.0,U
6,"Jan 25, 2020",BCOOK,95,NCA&T,98,W,-2.5,W,150.5,O
7,"Jan 20, 2020",NCA&T,76,MORGN,70,W,-3.5,W,144.0,O
8,"Jan 18, 2020",NCA&T,75,COPIN,79,L,-2.0,L,149.0,O
9,"Jan 13, 2020",NCA&T,98,DELST,77,W,5.5,W,151.5,O
10,"Jan 11, 2020",NCA&T,91,MD-ES,53,W,4.0,W,133.5,O
11,"Jan 6, 2020",FLA&M,90,NCA&T,97,W,-3.5,W,132.0,O
12,"Jan 3, 2020",MIDATL,61,NCA&T,123,W,0.0,,0.0,
13,"Dec 29, 2019",NCA&T,64,ILL,95,L,-25.5,L,131.5,O
14,"Dec 21, 2019",NCA&T,64,WAKE,76,L,-19.0,W,137.0,O
15,"Dec 17, 2019",KENT,85,NCA&T,71,L,14.0,P,132.5,O
16,"Dec 16, 2019",NCA&T,54,UTEP,72,L,-17.5,L,122.5,O
17,"Dec 7, 2019",NCA&T,52,BRAD,83,L,-15.0,L,127.5,O
18,"Dec 4, 2019",LONGW,41,NCA&T,52,W,0.0,W,132.0,U
19,"Nov 30, 2019",JAXVL,61,NCA&T,45,L,1.0,L,126.0,U
20,"Nov 24, 2019",NCA&T,54,EMICH,58,L,-10.5,W,120.0,U
21,"Nov 22, 2019",NICHL,54,NCA&T,66,W,9.0,W,134.5,U
22,"Nov 19, 2019",NCA&T,60,N.TEX,80,L,-14.5,L,120.5,O
23,"Nov 15, 2019",NCA&T,54,UT.ST,81,L,-29.0,W,140.5,U
24,"Nov 12, 2019",NCA&T,64,W.CAR,90,L,-10.0,L,142.0,O
25,"Nov 8, 2019",CHASO,49,NCA&T,63,W,6.0,W,136.0,U
26,"Nov 5, 2019",NCA&T,50,NCGRE,83,L,-18.0,L,135.0,U
27,"Mar 15, 2019",NCCEN,65,NCA&T,63,L,-1.0,L,131.0,U
28,"Mar 13, 2019",COPIN,79,NCA&T,82,W,-6.5,L,132.0,O
29,"Mar 7, 2019",NCCEN,52,NCA&T,74,W,-2.0,W,132.5,U
