,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",NCCEN,60,NCA&T,77,L,-1.5,L,135.5,O
1,"Feb 10, 2020",NCCEN,58,MORGN,57,W,-1.0,W,130.5,U
2,"Feb 8, 2020",NCCEN,68,COPIN,63,W,1.5,W,134.5,U
3,"Feb 3, 2020",NORFK,63,NCCEN,69,W,-4.0,W,128.0,O
4,"Feb 1, 2020",SC.ST,56,NCCEN,73,W,-6.0,W,132.5,U
5,"Jan 25, 2020",DELST,45,NCCEN,72,W,-12.0,W,143.0,U
6,"Jan 20, 2020",NCCEN,57,FLA&M,66,L,-2.0,L,128.0,U
7,"Jan 18, 2020",NCCEN,86,BCOOK,59,W,-6.5,W,138.5,O
8,"Jan 13, 2020",NCCEN,69,MD-ES,64,W,6.5,L,127.0,O
9,"Jan 11, 2020",NCCEN,66,DELST,68,L,6.0,L,145.5,U
10,"Jan 4, 2020",FLA&M,45,NCCEN,61,W,-2.5,W,131.0,U
11,"Dec 30, 2019",MIDATL,63,NCCEN,108,W,0.0,,0.0,
12,"Dec 17, 2019",NCCEN,60,LATEC,69,L,-22.5,W,135.5,U
13,"Dec 14, 2019",NCCEN,71,COCAR,91,L,-13.0,L,142.5,O
14,"Dec 11, 2019",CRSTDM,28,NCCEN,109,W,0.0,,0.0,
15,"Dec 7, 2019",NCCEN,53,CHASO,58,L,-4.5,L,133.0,U
16,"Dec 4, 2019",NCCEN,59,GA,95,L,-22.0,L,147.5,O
17,"Dec 2, 2019",NCCEN,59,WOFFD,77,L,-15.5,L,132.0,O
18,"Nov 26, 2019",NCCEN,48,S.ILL,64,L,-8.0,L,125.5,U
19,"Nov 21, 2019",BLUEF,44,NCCEN,68,W,0.0,,0.0,
20,"Nov 19, 2019",NCCEN,60,YOUNG,66,L,-9.0,W,136.0,U
21,"Nov 17, 2019",NCCEN,58,LOUIS,87,L,-33.5,W,139.0,O
22,"Nov 15, 2019",NCCEN,47,AKRON,57,L,-15.0,W,140.0,U
23,"Nov 11, 2019",USCUP,64,NCCEN,73,W,-7.5,W,140.0,U
24,"Nov 9, 2019",NCCEN,64,SFA,94,L,-5.0,L,137.0,O
25,"Mar 20, 2019",NCCEN,74,ND.ST,78,L,-4.5,W,131.0,O
26,"Mar 16, 2019",NCCEN,50,NORFK,47,W,-4.5,W,135.0,U
27,"Mar 15, 2019",NCCEN,65,NCA&T,63,W,-1.0,W,131.0,U
28,"Mar 14, 2019",DELST,57,NCCEN,75,W,-11.0,W,136.0,U
29,"Mar 7, 2019",NCCEN,52,NCA&T,74,L,-2.0,L,132.5,U
