,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",NCST,68,BC,71,L,4.0,L,141.0,U
1,"Feb 11, 2020",NCST,79,SYRA,74,W,-5.0,W,148.0,O
2,"Feb 5, 2020",NCST,83,MIAMI,72,W,3.5,W,142.5,O
3,"Feb 1, 2020",LOUIS,77,NCST,57,L,4.0,L,141.0,U
4,"Jan 27, 2020",UNC,75,NCST,65,L,-6.5,L,149.0,U
5,"Jan 25, 2020",NCST,58,GATEC,64,L,-1.5,L,140.5,U
6,"Jan 20, 2020",NCST,53,VIRGA,51,W,-6.0,W,117.5,U
7,"Jan 18, 2020",CLEMS,54,NCST,60,W,-6.5,L,139.0,U
8,"Jan 15, 2020",MIAMI,63,NCST,80,W,-9.0,W,153.5,U
9,"Jan 11, 2020",NCST,58,VATEC,72,L,-2.0,L,142.5,U
10,"Jan 8, 2020",ND,68,NCST,73,W,-2.5,W,147.5,U
11,"Jan 4, 2020",NCST,70,CLEMS,81,L,0.0,,137.0,O
12,"Dec 29, 2019",APPST,60,NCST,72,W,-12.0,P,144.0,U
13,"Dec 22, 2019",CITDL,63,NCST,83,W,-26.0,L,167.0,U
14,"Dec 19, 2019",NCST,73,AUBRN,79,L,-7.5,W,153.0,U
15,"Dec 15, 2019",NCST,80,NCGRE,77,W,2.0,W,136.0,O
16,"Dec 7, 2019",NCST,91,WAKE,82,W,5.5,W,146.0,O
17,"Dec 4, 2019",WISCN,54,NCST,69,W,-5.5,W,133.5,U
18,"Nov 28, 2019",NCST,78,MEMPH,83,L,2.0,L,153.5,O
19,"Nov 23, 2019",ARKLR,58,NCST,74,W,-15.0,W,143.0,U
20,"Nov 19, 2019",ALCRN,64,NCST,87,W,-32.0,L,147.0,O
21,"Nov 16, 2019",STFNY,64,NCST,95,W,-22.5,W,149.0,O
22,"Nov 13, 2019",FLAIN,77,NCST,86,W,-16.5,L,165.5,U
23,"Nov 10, 2019",DETRT,65,NCST,84,W,-18.0,W,160.0,U
24,"Nov 5, 2019",GATEC,82,NCST,81,L,-5.5,L,151.0,O
25,"Mar 27, 2019",LIPSC,94,NCST,93,L,-5.0,L,163.0,O
26,"Mar 24, 2019",HARVD,77,NCST,78,W,-9.5,L,152.5,O
27,"Mar 19, 2019",HOFST,78,NCST,84,W,-9.0,L,164.0,U
28,"Mar 14, 2019",NCST,56,VIRGA,76,L,-11.5,L,132.5,U
29,"Mar 13, 2019",CLEMS,58,NCST,59,W,2.5,W,145.0,U
