,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 25, 2020",NCSU,79,UNC,85,W,-2.0,W,148.5,O
1,"Feb 22, 2020",UNC,55,LOUIS,72,L,-10.5,L,145.5,U
2,"Feb 17, 2020",UNC,76,ND,77,L,-4.0,W,150.0,O
3,"Feb 15, 2020",VIRGA,64,UNC,62,L,-1.5,L,117.0,O
4,"Feb 11, 2020",UNC,57,WAKE,74,L,2.0,L,149.5,U
5,"Feb 8, 2020",DUKE,98,UNC,96,L,7.5,W,148.5,O
6,"Feb 3, 2020",UNC,59,FLAST,65,L,-8.0,W,145.0,U
7,"Feb 1, 2020",BC,71,UNC,70,L,-12.0,L,141.0,P
8,"Jan 27, 2020",UNC,75,NCST,65,W,-6.5,W,149.0,U
9,"Jan 25, 2020",MIAMI,71,UNC,94,W,-6.5,W,144.5,O
10,"Jan 22, 2020",UNC,77,VATEC,79,L,-7.5,W,138.0,O
11,"Jan 18, 2020",UNC,52,PITT,66,L,-3.0,L,137.0,U
12,"Jan 11, 2020",CLEMS,79,UNC,76,L,-3.0,L,135.0,O
13,"Jan 8, 2020",PITT,73,UNC,65,L,-5.0,L,137.5,O
14,"Jan 4, 2020",GATEC,96,UNC,83,L,-7.0,L,137.0,O
15,"Dec 30, 2019",YALE,67,UNC,70,W,-6.5,L,134.0,O
16,"Dec 21, 2019",UCLA,64,UNC,74,W,-3.0,W,139.0,U
17,"Dec 18, 2019",UNC,81,GONZG,94,L,-14.0,W,147.0,O
18,"Dec 15, 2019",WOFFD,68,UNC,64,L,-11.5,L,142.0,U
19,"Dec 8, 2019",UNC,47,VIRGA,56,L,-4.0,L,113.5,U
20,"Dec 4, 2019",OHIOS,74,UNC,49,L,-3.0,L,138.5,U
21,"Nov 29, 2019",UNC,78,OREG,74,W,-2.0,W,142.0,O
22,"Nov 28, 2019",MICH,73,UNC,64,L,-3.0,L,147.0,U
23,"Nov 27, 2019",UNC,76,ALA,67,W,9.5,L,155.0,U
24,"Nov 20, 2019",ELON,61,UNC,75,W,-29.5,L,143.0,U
25,"Nov 15, 2019",G.WEB,61,UNC,77,W,-26.5,L,148.5,U
26,"Nov 8, 2019",UNC,78,NCWIL,62,W,22.0,L,160.0,U
27,"Nov 6, 2019",ND,65,UNC,76,W,-9.5,W,146.0,U
28,"Mar 29, 2019",AUBRN,97,UNC,80,L,-5.5,L,163.5,O
29,"Mar 24, 2019",WASH,59,UNC,81,W,-11.5,W,152.0,U
