,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 14, 2020",IPFW,70,ND.ST,80,W,-12.5,L,139.0,O
1,"Feb 8, 2020",ORALR,76,ND.ST,83,W,-7.0,P,144.5,O
2,"Feb 5, 2020",ND.ST,86,NEBOM,78,W,2.5,W,144.0,O
3,"Feb 1, 2020",ND.ST,71,IPFW,60,W,4.0,W,137.5,U
4,"Jan 30, 2020",ND.ST,70,W.ILL,49,W,9.0,W,150.0,U
5,"Jan 25, 2020",DENVR,70,ND.ST,82,W,-13.5,L,142.0,O
6,"Jan 22, 2020",ND.ST,73,SD.ST,78,L,-3.5,L,142.0,O
7,"Jan 19, 2020",NDAKOT,74,ND.ST,83,W,-8.0,W,141.0,O
8,"Jan 15, 2020",SDKOTA,70,ND.ST,72,W,-6.5,L,142.0,P
9,"Jan 9, 2020",ND.ST,73,ORALR,79,L,-3.5,L,144.5,O
10,"Jan 5, 2020",NLAND,43,ND.ST,97,W,0.0,,0.0,
11,"Jan 2, 2020",W.ILL,74,ND.ST,94,W,-12.5,W,148.5,O
12,"Dec 29, 2019",ND.ST,66,DENVR,55,W,8.5,W,135.0,U
13,"Dec 20, 2019",ND.ST,68,MARQ,82,L,-12.5,L,142.0,O
14,"Dec 16, 2019",MONST,65,ND.ST,79,W,-8.0,W,134.0,O
15,"Dec 11, 2019",ND.ST,71,CSNOR,62,W,3.5,W,140.0,U
16,"Dec 7, 2019",E.TEN,68,ND.ST,78,W,4.0,W,134.0,O
17,"Dec 3, 2019",ND.ST,60,INDST,71,L,-3.5,L,133.5,U
18,"Nov 26, 2019",ND.ST,70,IDAHO,53,W,9.5,W,129.0,U
19,"Nov 23, 2019",UTVAL,68,ND.ST,62,L,-6.0,L,135.5,U
20,"Nov 17, 2019",STONY,64,ND.ST,57,L,-2.5,L,131.5,U
21,"Nov 16, 2019",ND.ST,57,TEXCC,45,W,6.5,W,131.5,U
22,"Nov 15, 2019",UTRGV,70,ND.ST,76,W,-5.0,W,139.5,O
23,"Nov 11, 2019",CALPO,67,ND.ST,74,W,-16.5,L,141.5,U
24,"Nov 7, 2019",MAYVL,53,ND.ST,93,W,0.0,,0.0,
25,"Nov 5, 2019",ND.ST,54,KANST,67,L,-11.5,L,131.5,U
26,"Mar 22, 2019",ND.ST,62,DUKE,85,L,-27.5,W,149.0,U
27,"Mar 20, 2019",NCCEN,74,ND.ST,78,W,-4.5,L,131.0,O
28,"Mar 12, 2019",ND.ST,73,NEBOM,63,W,-3.5,W,145.0,U
29,"Mar 11, 2019",W.ILL,73,ND.ST,76,W,-6.5,L,138.0,O
