,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",SD.ST,94,NDAKOT,83,L,3.5,L,150.0,O
1,"Feb 15, 2020",NDAKOT,86,W.ILL,83,W,2.0,W,152.5,O
2,"Feb 8, 2020",SDKOTA,82,NDAKOT,68,L,1.5,L,154.5,U
3,"Feb 6, 2020",ORALR,68,NDAKOT,74,W,2.0,W,153.5,U
4,"Jan 30, 2020",NDAKOT,68,IPFW,72,L,-2.0,L,145.5,U
5,"Jan 25, 2020",W.ILL,77,NDAKOT,83,W,-9.0,L,154.0,O
6,"Jan 23, 2020",DENVR,71,NDAKOT,78,W,-9.5,L,147.5,O
7,"Jan 19, 2020",NDAKOT,74,ND.ST,83,L,-8.0,L,141.0,O
8,"Jan 15, 2020",NDAKOT,66,SD.ST,87,L,-8.0,L,146.0,O
9,"Jan 11, 2020",NDAKOT,73,ORALR,88,L,-8.0,L,152.0,O
10,"Jan 8, 2020",NEBOM,66,NDAKOT,62,L,-3.5,L,150.5,U
11,"Jan 5, 2020",IPFW,69,NDAKOT,83,W,-4.5,W,143.0,O
12,"Jan 2, 2020",NDAKOT,82,DENVR,71,W,3.5,W,140.0,O
13,"Dec 29, 2019",NDAKOT,66,OREST,83,L,-14.5,L,141.5,O
14,"Dec 21, 2019",NDAKOT,75,NEBRS,74,W,-9.0,W,152.0,U
15,"Dec 17, 2019",NLAND,50,NDAKOT,109,W,0.0,,0.0,
16,"Dec 8, 2019",NDAKOT,82,EWASH,98,L,-7.5,L,152.5,O
17,"Dec 6, 2019",NDAKOT,70,MONTA,77,L,-6.5,L,133.0,O
18,"Dec 1, 2019",NDAKOT,56,CAMBP,58,L,0.0,,139.0,U
19,"Nov 30, 2019",NDAKOT,80,GASOU,68,W,-10.5,W,153.0,U
20,"Nov 29, 2019",NDAKOT,78,FLAGC,63,W,-3.5,W,137.5,O
21,"Nov 26, 2019",NCMINN,50,NDAKOT,115,W,0.0,,0.0,
22,"Nov 24, 2019",NDAKOT,56,MINN,79,L,-18.5,L,137.0,U
23,"Nov 19, 2019",NDAKOT,70,WISML,79,L,-6.5,L,133.0,O
24,"Nov 17, 2019",NDAKOT,60,VALPO,74,L,-8.0,L,143.0,U
25,"Nov 12, 2019",NDAKOT,66,GONZG,97,L,-29.0,L,149.0,O
26,"Nov 7, 2019",CROWN,61,NDAKOT,86,W,-34.5,L,164.5,U
27,"Mar 9, 2019",NDAKOT,76,NEBOM,81,L,-6.0,W,150.0,O
28,"Mar 2, 2019",NDAKOT,63,SDKOTA,78,L,-6.5,L,143.5,U
29,"Feb 28, 2019",NDAKOT,88,IPFW,82,W,-9.5,W,159.5,O
