,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",N.ALAB,67,N.FLA,80,W,-10.5,W,153.5,U
1,"Feb 13, 2020",JAXVL,66,N.FLA,81,W,-7.5,W,144.0,O
2,"Feb 8, 2020",N.FLA,69,FLAGC,60,W,5.0,W,140.0,U
3,"Feb 6, 2020",N.FLA,82,NJIT,75,W,2.0,W,144.0,O
4,"Feb 1, 2020",KENNE,45,N.FLA,86,W,-19.5,W,148.5,U
5,"Jan 30, 2020",STETS,65,N.FLA,78,W,-9.0,W,139.0,O
6,"Jan 25, 2020",N.FLA,73,LIPSC,85,L,1.0,L,153.0,O
7,"Jan 23, 2020",LIBRT,70,N.FLA,71,W,6.5,W,131.0,O
8,"Jan 16, 2020",N.FLA,75,JAXVL,68,W,2.0,W,137.0,O
9,"Jan 11, 2020",NJIT,78,N.FLA,66,L,-9.0,L,147.0,U
10,"Jan 9, 2020",FLAGC,74,N.FLA,89,W,-11.0,W,140.5,O
11,"Jan 4, 2020",N.FLA,81,N.ALAB,65,W,3.5,W,146.5,U
12,"Jan 2, 2020",N.FLA,76,KENNE,57,W,11.0,W,148.5,U
13,"Dec 30, 2019",N.FLA,59,DAYTN,77,L,-20.5,W,152.0,U
14,"Dec 21, 2019",N.FLA,70,SYRA,82,L,-14.5,W,151.0,O
15,"Dec 17, 2019",N.FLA,81,FLAST,98,L,-20.0,W,149.5,O
16,"Dec 14, 2019",N.FLA,72,S.MISS,69,W,1.5,W,141.0,P
17,"Dec 7, 2019",N.FLA,83,APEAY,90,L,-3.0,L,155.0,O
18,"Dec 2, 2019",HIGHP,70,N.FLA,93,W,-16.0,W,143.5,O
19,"Nov 29, 2019",TN.ST,81,N.FLA,73,L,-3.0,L,149.0,O
20,"Nov 28, 2019",N.FLA,95,LIU,92,W,4.0,L,154.0,O
21,"Nov 24, 2019",N.FLA,67,CREIG,76,L,-17.0,W,149.5,U
22,"Nov 21, 2019",N.FLA,68,IOWA,83,L,-16.0,W,159.0,U
23,"Nov 18, 2019",TRINBP,39,N.FLA,115,W,-54.5,W,140.5,O
24,"Nov 14, 2019",S.MISS,63,N.FLA,66,W,-4.0,L,149.0,U
25,"Nov 11, 2019",GASOU,77,N.FLA,80,W,3.0,W,159.0,U
26,"Nov 7, 2019",FLANAT,81,N.FLA,89,W,0.0,,0.0,
27,"Nov 5, 2019",N.FLA,59,FLA,74,L,-21.5,W,149.5,U
28,"Mar 7, 2019",N.FLA,63,LIBRT,71,L,-12.0,W,138.5,U
29,"Mar 4, 2019",N.ALAB,66,N.FLA,76,W,-8.0,W,148.0,U
