,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",OLDDO,47,N.TEX,64,W,-7.5,W,128.0,U
1,"Feb 13, 2020",CHARL,72,N.TEX,81,W,-8.5,W,126.5,O
2,"Feb 8, 2020",N.TEX,71,UAB,64,W,4.0,W,126.5,O
3,"Feb 6, 2020",N.TEX,75,MIDTN,70,W,8.5,L,134.0,O
4,"Feb 1, 2020",N.TEX,75,RICE,84,L,8.5,L,140.0,O
5,"Jan 25, 2020",UTEP,57,N.TEX,67,W,-10.0,P,127.0,U
6,"Jan 23, 2020",TEXSA,78,N.TEX,98,W,-10.0,W,142.0,O
7,"Jan 20, 2020",RICE,59,N.TEX,79,W,-13.0,W,137.5,O
8,"Jan 18, 2020",N.TEX,51,LATEC,50,W,-6.0,W,131.5,U
9,"Jan 16, 2020",N.TEX,72,S.MISS,52,W,6.5,W,128.5,U
10,"Jan 11, 2020",FLAAT,58,N.TEX,81,W,-7.0,W,128.0,O
11,"Jan 9, 2020",FLAIN,56,N.TEX,74,W,-7.5,W,142.0,U
12,"Jan 4, 2020",N.TEX,67,MARSH,64,W,-4.5,W,143.0,U
13,"Jan 2, 2020",N.TEX,84,W.KEN,93,L,-3.0,L,136.5,O
14,"Dec 28, 2019",TEXWS,64,N.TEX,102,W,0.0,,0.0,
15,"Dec 21, 2019",ARKPB,53,N.TEX,86,W,-19.0,W,120.5,O
16,"Dec 17, 2019",N.TEX,58,DAYTN,71,L,-17.0,W,135.0,U
17,"Dec 7, 2019",ARKLR,53,N.TEX,76,W,-5.5,W,121.0,O
18,"Dec 5, 2019",OKLA,82,N.TEX,80,L,6.5,W,131.0,O
19,"Dec 2, 2019",N.TEX,77,TEXAR,66,W,-5.5,W,122.0,O
20,"Nov 24, 2019",N.TEX,59,UT.ST,68,L,-12.5,W,127.0,P
21,"Nov 22, 2019",RHODEI,60,N.TEX,47,L,6.0,L,128.5,U
22,"Nov 19, 2019",NCA&T,60,N.TEX,80,W,-14.5,W,120.5,O
23,"Nov 16, 2019",EMICH,56,N.TEX,51,L,-9.0,L,116.5,U
24,"Nov 12, 2019",N.TEX,43,ARK,66,L,-13.0,L,134.5,U
25,"Nov 8, 2019",N.TEX,56,VACOM,59,L,-15.5,W,133.5,U
26,"Nov 5, 2019",OKCHRI,40,N.TEX,79,W,0.0,,0.0,
27,"Mar 14, 2019",N.TEX,51,W.KEN,67,L,-3.0,L,128.0,U
28,"Mar 13, 2019",N.TEX,71,FLAIN,57,W,2.5,W,148.0,U
29,"Mar 9, 2019",N.TEX,58,FLAIN,73,L,-1.0,L,151.0,U
