,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLCH,51,NEAST,65,W,-3.0,W,139.5,U
1,"Feb 13, 2020",NCWIL,63,NEAST,71,W,-13.0,L,138.0,U
2,"Feb 8, 2020",NEAST,71,HOFST,75,L,-3.0,L,147.5,U
3,"Feb 1, 2020",NEAST,69,ELON,74,L,7.5,L,137.0,O
4,"Jan 30, 2020",NEAST,58,W&M,59,L,-1.5,W,141.5,U
5,"Jan 25, 2020",DELA,76,NEAST,74,L,-7.5,L,145.0,O
6,"Jan 23, 2020",DREXL,52,NEAST,85,W,-8.5,W,140.5,U
7,"Jan 18, 2020",NEAST,74,NCWIL,76,L,7.5,L,133.5,O
8,"Jan 16, 2020",NEAST,79,COLCH,76,W,-3.5,W,136.0,O
9,"Jan 9, 2020",HOFST,74,NEAST,72,L,-4.5,L,145.5,O
10,"Jan 4, 2020",W&M,66,NEAST,64,L,-7.0,L,144.0,U
11,"Jan 2, 2020",ELON,68,NEAST,77,W,-14.0,L,134.5,O
12,"Dec 30, 2019",NEAST,88,JMU,72,W,2.5,W,149.5,O
13,"Dec 28, 2019",NEAST,61,TOWSN,45,W,-2.0,W,135.5,U
14,"Dec 19, 2019",NEAST,74,DETRT,61,W,6.0,W,148.0,U
15,"Dec 17, 2019",NEAST,55,EMICH,60,L,-2.0,L,133.0,U
16,"Dec 7, 2019",DAVID,70,NEAST,63,L,1.5,L,140.0,U
17,"Dec 4, 2019",MAINE,63,NEAST,78,W,-16.0,L,125.5,O
18,"Nov 27, 2019",NEAST,79,WEBER,69,W,5.5,W,127.0,O
19,"Nov 26, 2019",NEAST,56,DRAKE,59,L,1.0,L,134.0,U
20,"Nov 25, 2019",NEAST,62,S.ALA,74,L,3.0,L,137.0,U
21,"Nov 19, 2019",NEAST,101,HOLYC,44,W,9.5,W,147.5,U
22,"Nov 16, 2019",OLDDO,76,NEAST,69,L,-3.5,L,134.0,O
23,"Nov 12, 2019",NEAST,71,UMASS,80,L,2.5,L,141.0,O
24,"Nov 8, 2019",HARVD,79,NEAST,84,W,2.0,W,139.5,O
25,"Nov 5, 2019",NEAST,72,BOSTU,67,W,0.0,,145.0,U
26,"Mar 21, 2019",NEAST,53,KANSA,87,L,-7.0,L,143.0,U
27,"Mar 12, 2019",NEAST,82,HOFST,74,W,2.5,W,145.5,O
28,"Mar 11, 2019",COLCH,67,NEAST,70,W,-3.0,P,138.0,U
29,"Mar 10, 2019",NCWIL,59,NEAST,80,W,-10.5,W,150.0,U
