,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SUTAH,69,NARIZ,82,W,2.5,W,139.5,O
1,"Feb 13, 2020",NCOLO,84,NARIZ,54,L,4.0,L,137.0,O
2,"Feb 8, 2020",NARIZ,70,WEBER,76,L,-2.5,L,143.5,O
3,"Feb 6, 2020",NARIZ,88,ID.ST,87,W,2.0,L,143.5,O
4,"Feb 3, 2020",EWASH,77,NARIZ,66,L,-1.5,L,153.0,U
5,"Feb 1, 2020",IDAHO,72,NARIZ,77,W,-10.0,L,135.5,O
6,"Jan 27, 2020",SACRA,54,NARIZ,69,W,-2.0,W,124.0,U
7,"Jan 25, 2020",PORST,82,NARIZ,84,W,-3.5,L,149.0,O
8,"Jan 18, 2020",NARIZ,64,NCOLO,58,W,-10.5,W,138.0,U
9,"Jan 16, 2020",NARIZ,75,SUTAH,72,W,-8.5,W,135.5,O
10,"Jan 11, 2020",ID.ST,71,NARIZ,67,L,-7.0,L,135.5,O
11,"Jan 9, 2020",NARIZ,57,SACRA,64,L,-6.0,L,123.5,U
12,"Jan 4, 2020",WEBER,64,NARIZ,72,W,-4.0,W,139.0,U
13,"Dec 30, 2019",NARIZ,61,MONST,63,L,-4.5,W,142.0,U
14,"Dec 28, 2019",NARIZ,72,MONTA,79,L,-6.0,L,136.5,O
15,"Dec 21, 2019",NARIZ,73,PEPPR,75,L,-9.5,W,153.0,U
16,"Dec 19, 2019",NARIZ,63,UCRIV,56,W,-5.0,W,129.5,U
17,"Dec 14, 2019",NARIZ,79,UTVAL,73,W,-7.5,W,143.5,O
18,"Dec 8, 2019",NEBOM,65,NARIZ,73,W,6.0,W,144.5,U
19,"Dec 4, 2019",UCDAV,85,NARIZ,66,L,-6.0,L,134.0,O
20,"Nov 30, 2019",SDKOTA,72,NARIZ,76,W,6.0,W,145.5,O
21,"Nov 20, 2019",BNMESA,56,NARIZ,93,W,0.0,,0.0,
22,"Nov 15, 2019",AIC,32,NARIZ,105,W,0.0,,0.0,
23,"Nov 6, 2019",NARIZ,52,ARIZ,91,L,-23.0,L,146.5,U
24,"Mar 13, 2019",SACRA,72,NARIZ,60,L,4.0,L,140.5,U
25,"Mar 9, 2019",NARIZ,89,NCOLO,78,W,-13.0,W,143.0,O
26,"Mar 4, 2019",NARIZ,64,MONTA,66,L,-15.0,W,151.0,U
27,"Mar 2, 2019",NARIZ,73,MONST,84,L,-8.5,L,159.5,U
28,"Feb 23, 2019",EWASH,86,NARIZ,73,L,0.0,L,148.0,O
29,"Feb 21, 2019",IDAHO,54,NARIZ,75,W,-12.5,W,145.5,U
