,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NCOLO,68,SACRA,65,W,2.5,W,122.5,O
1,"Feb 13, 2020",NCOLO,84,NARIZ,54,W,4.0,W,137.0,O
2,"Feb 10, 2020",PORST,83,NCOLO,71,L,-9.0,L,148.0,O
3,"Feb 6, 2020",NCOLO,68,SUTAH,60,W,-2.0,W,135.0,U
4,"Feb 1, 2020",WEBER,52,NCOLO,70,W,-10.5,W,137.0,U
5,"Jan 30, 2020",ID.ST,67,NCOLO,83,W,-14.0,W,135.0,O
6,"Jan 27, 2020",NCOLO,84,EWASH,89,L,-2.5,L,148.0,O
7,"Jan 25, 2020",NCOLO,74,IDAHO,53,W,8.5,W,134.0,U
8,"Jan 18, 2020",NARIZ,64,NCOLO,58,L,-10.5,L,138.0,U
9,"Jan 16, 2020",SACRA,52,NCOLO,71,W,-6.5,W,125.5,U
10,"Jan 9, 2020",NCOLO,65,WEBER,64,W,2.5,L,135.0,U
11,"Jan 4, 2020",MONTA,66,NCOLO,74,W,-6.0,W,132.0,O
12,"Jan 2, 2020",MONST,59,NCOLO,68,W,-9.0,P,137.5,U
13,"Dec 28, 2019",NCOLO,65,PORST,69,L,0.0,,148.0,U
14,"Dec 20, 2019",NCOLO,87,SDKOTA,68,W,-1.5,W,136.0,O
15,"Dec 17, 2019",DENVR,64,NCOLO,86,W,-13.0,W,136.0,O
16,"Dec 14, 2019",NCOLO,74,WYOM,53,W,6.0,W,128.0,U
17,"Dec 4, 2019",NRTHNM,47,NCOLO,92,W,0.0,,0.0,
18,"Nov 27, 2019",G.WEB,67,NCOLO,62,L,-4.0,L,129.5,U
19,"Nov 26, 2019",BOSTU,55,NCOLO,78,W,-1.5,W,130.5,O
20,"Nov 18, 2019",NCOLO,61,W.VA,69,L,-16.0,W,140.0,U
21,"Nov 16, 2019",NCOLO,72,NIOWA,77,L,-9.5,W,122.0,O
22,"Nov 8, 2019",INCAR,61,NCOLO,83,W,-15.0,W,137.5,O
23,"Nov 5, 2019",NCOLO,45,TEXAS,69,L,-16.5,L,134.5,U
24,"Mar 14, 2019",SUTAH,83,NCOLO,64,L,-8.5,L,141.0,O
25,"Mar 9, 2019",NARIZ,89,NCOLO,78,L,-13.0,L,143.0,O
26,"Mar 7, 2019",NCOLO,70,SUTAH,53,W,4.0,W,143.5,U
27,"Mar 2, 2019",ID.ST,62,NCOLO,71,W,-12.5,L,146.5,U
28,"Feb 28, 2019",WEBER,61,NCOLO,85,W,-4.5,W,148.5,U
29,"Feb 25, 2019",NCOLO,74,MONTA,72,W,-5.5,W,141.5,O
