,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",N.ILL,60,MIAOH,65,L,3.5,L,131.5,U
1,"Feb 11, 2020",N.ILL,59,BALL,63,L,-7.0,W,125.0,U
2,"Feb 7, 2020",KENT,54,N.ILL,57,W,2.0,W,132.0,U
3,"Feb 4, 2020",N.ILL,66,TOLDO,61,W,-6.5,W,134.0,U
4,"Feb 1, 2020",MIAOH,55,N.ILL,70,W,-4.0,W,132.0,U
5,"Jan 28, 2020",OHIO,59,N.ILL,61,W,-3.0,L,133.5,U
6,"Jan 25, 2020",WMICH,52,N.ILL,58,W,-5.5,W,134.0,U
7,"Jan 21, 2020",N.ILL,76,KENT,69,W,-9.0,W,135.0,O
8,"Jan 18, 2020",N.ILL,64,BOWLG,66,L,-7.0,W,138.0,U
9,"Jan 14, 2020",AKRON,72,N.ILL,49,L,2.5,L,135.0,U
10,"Jan 11, 2020",EMICH,68,N.ILL,71,W,-5.0,L,122.5,O
11,"Jan 7, 2020",N.ILL,67,CMICH,68,L,-5.0,W,150.0,U
12,"Jan 4, 2020",N.ILL,73,BUFF,72,W,-8.0,W,148.0,U
13,"Dec 21, 2019",WISGB,85,N.ILL,84,L,-6.5,L,148.5,O
14,"Dec 19, 2019",N.ILL,75,CHIST,60,W,18.5,L,141.0,U
15,"Dec 16, 2019",N.ILL,50,PITT,59,L,-11.0,W,125.5,U
16,"Dec 7, 2019",N.ILL,57,UCDAV,66,L,4.0,L,131.0,U
17,"Dec 5, 2019",N.ILL,49,STMAR,61,L,-14.0,W,133.5,U
18,"Nov 25, 2019",OAKLN,50,N.ILL,74,W,-4.5,W,124.5,U
19,"Nov 23, 2019",N.ILL,68,SIUED,64,W,7.5,L,130.0,O
20,"Nov 20, 2019",N.ILL,86,W.ILL,81,W,7.0,L,146.5,O
21,"Nov 18, 2019",LONGW,48,N.ILL,65,W,-6.5,W,138.5,U
22,"Nov 16, 2019",ROKFD,48,N.ILL,96,W,0.0,,0.0,
23,"Nov 15, 2019",COPIN,69,N.ILL,81,W,-13.0,L,141.5,O
24,"Nov 12, 2019",N.ILL,52,IOWAS,70,L,-14.5,L,142.5,U
25,"Nov 9, 2019",NIOWA,64,N.ILL,54,L,1.5,L,130.5,U
26,"Mar 15, 2019",N.ILL,67,BOWLG,71,L,-3.0,L,147.0,U
27,"Mar 14, 2019",N.ILL,80,TOLDO,76,W,-6.5,W,138.0,O
28,"Mar 11, 2019",OHIO,61,N.ILL,80,W,-3.5,W,139.0,O
29,"Mar 8, 2019",N.ILL,64,BALL,57,W,-5.0,W,141.0,U
