,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NIOWA,73,LOYCH,82,L,-2.0,L,129.5,O
1,"Feb 12, 2020",ILLST,63,NIOWA,71,W,-13.5,L,141.0,U
2,"Feb 8, 2020",DRAKE,73,NIOWA,83,W,-9.0,W,137.0,O
3,"Feb 5, 2020",NIOWA,63,VALPO,51,W,3.5,W,147.0,U
4,"Feb 1, 2020",NIOWA,80,EVANS,68,W,12.0,P,135.5,O
5,"Jan 29, 2020",MIZST,66,NIOWA,95,W,-10.0,W,137.0,O
6,"Jan 26, 2020",LOYCH,62,NIOWA,67,W,-4.0,W,130.0,U
7,"Jan 22, 2020",NIOWA,66,S.ILL,68,L,5.5,L,127.5,O
8,"Jan 18, 2020",NIOWA,86,BRAD,71,W,0.0,,135.5,O
9,"Jan 15, 2020",VALPO,78,NIOWA,88,W,-10.5,L,134.5,O
10,"Jan 11, 2020",NIOWA,80,MIZST,57,W,2.0,W,127.5,O
11,"Jan 7, 2020",INDST,60,NIOWA,68,W,-7.5,W,137.0,U
12,"Jan 4, 2020",BRAD,64,NIOWA,69,W,-7.0,L,133.0,P
13,"Dec 31, 2019",NIOWA,70,ILLST,76,L,5.5,L,134.0,O
14,"Dec 22, 2019",MARSH,80,NIOWA,88,W,-11.0,L,144.5,O
15,"Dec 12, 2019",NIOWA,82,GRCNYN,58,W,5.5,W,133.0,O
16,"Dec 10, 2019",NIOWA,79,COLO,76,W,-9.5,W,126.5,O
17,"Dec 2, 2019",LUTHR,51,NIOWA,110,W,0.0,,0.0,
18,"Nov 27, 2019",S.CAR,72,NIOWA,78,W,1.5,W,126.0,O
19,"Nov 26, 2019",NIOWA,55,W.VA,60,L,-6.0,W,124.5,U
20,"Nov 20, 2019",CRNCOL,66,NIOWA,88,W,0.0,,0.0,
21,"Nov 19, 2019",TNMAR,67,NIOWA,87,W,-15.5,W,140.5,O
22,"Nov 16, 2019",NCOLO,72,NIOWA,77,W,-9.5,L,122.0,O
23,"Nov 13, 2019",CSBAK,55,NIOWA,67,W,-10.5,W,122.5,U
24,"Nov 9, 2019",NIOWA,64,N.ILL,54,W,1.5,W,130.5,U
25,"Nov 5, 2019",OLDDO,53,NIOWA,58,W,-4.5,W,122.0,U
26,"Mar 10, 2019",NIOWA,54,BRAD,57,L,-2.0,L,119.0,U
27,"Mar 9, 2019",NIOWA,60,DRAKE,58,W,3.0,L,132.0,U
28,"Mar 8, 2019",NIOWA,61,S.ILL,58,W,-3.5,W,125.5,U
29,"Mar 2, 2019",NIOWA,54,INDST,71,L,-1.5,L,132.0,U
