,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",ILCHI,73,N.KENT,43,L,-10.0,L,137.0,U
1,"Feb 14, 2020",IUPUI,70,N.KENT,84,W,-15.5,L,146.0,O
2,"Feb 8, 2020",DETRT,65,N.KENT,84,W,-11.5,W,147.0,O
3,"Feb 6, 2020",OAKLN,70,N.KENT,73,W,-10.0,L,135.0,O
4,"Feb 2, 2020",N.KENT,65,WISML,56,W,4.0,W,139.0,U
5,"Jan 31, 2020",N.KENT,71,WISGB,62,W,2.0,W,155.0,U
6,"Jan 24, 2020",N.KENT,63,WRIGH,95,L,-4.0,L,143.0,O
7,"Jan 18, 2020",CLEST,49,N.KENT,75,W,-13.5,W,131.5,U
8,"Jan 16, 2020",YOUNG,63,N.KENT,88,W,-8.0,W,132.0,O
9,"Jan 12, 2020",N.KENT,96,IUPUI,71,W,6.0,W,141.0,O
10,"Jan 10, 2020",N.KENT,68,ILCHI,52,W,0.0,,135.0,U
11,"Jan 5, 2020",N.KENT,75,OAKLN,64,W,-2.5,W,130.5,O
12,"Jan 3, 2020",N.KENT,58,DETRT,66,L,4.5,L,143.5,U
13,"Dec 30, 2019",WISGB,73,N.KENT,59,L,-5.5,L,155.0,U
14,"Dec 28, 2019",WISML,64,N.KENT,74,W,-6.5,W,132.0,O
15,"Dec 21, 2019",N.KENT,50,NCGRE,67,L,-8.0,L,128.5,U
16,"Dec 15, 2019",ILLST,64,N.KENT,79,W,-5.5,W,133.5,O
17,"Dec 8, 2019",EKENT,57,N.KENT,76,W,-13.5,W,146.5,U
18,"Dec 3, 2019",N.KENT,76,MIAOH,54,W,-4.0,W,144.5,U
19,"Nov 30, 2019",N.KENT,60,ARK,66,L,-15.0,W,131.5,U
20,"Nov 25, 2019",MIDWAY,56,N.KENT,86,W,0.0,,0.0,
21,"Nov 23, 2019",TEXSO,98,N.KENT,96,L,-11.5,L,144.0,O
22,"Nov 20, 2019",N.KENT,59,BALL,57,W,-7.5,W,131.5,U
23,"Nov 17, 2019",COPIN,70,N.KENT,82,W,-17.0,L,144.5,O
24,"Nov 12, 2019",N.KENT,69,COCAR,68,W,0.0,,146.0,U
25,"Nov 8, 2019",N.KENT,56,MIZZU,71,L,-13.5,L,142.0,U
26,"Nov 5, 2019",CINCLR,55,N.KENT,105,W,0.0,,0.0,
27,"Mar 22, 2019",N.KENT,57,TEXTK,72,L,-13.0,L,135.5,U
28,"Mar 12, 2019",N.KENT,77,WRIGH,66,W,-1.0,W,133.0,O
29,"Mar 11, 2019",OAKLN,63,N.KENT,64,W,-5.5,L,152.0,U
