,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",MCNEE,79,NWST,84,W,1.5,W,150.0,O
1,"Feb 12, 2020",INCAR,60,NWST,70,W,-6.5,W,140.0,U
2,"Feb 8, 2020",NWST,93,HOUBPT,79,W,-1.0,W,171.0,O
3,"Feb 5, 2020",ABILE,69,NWST,73,W,6.0,W,139.5,O
4,"Feb 1, 2020",C.ARK,79,NWST,71,L,-1.5,L,157.5,U
5,"Jan 29, 2020",NWST,82,NEWOR,74,W,-4.0,W,148.0,O
6,"Jan 25, 2020",SELA,84,NWST,81,L,-5.0,L,144.0,O
7,"Jan 22, 2020",SFA,69,NWST,62,L,9.5,W,150.0,U
8,"Jan 15, 2020",NWST,73,NICHL,72,W,-12.5,W,140.0,O
9,"Jan 11, 2020",NWST,76,MCNEE,85,L,-7.5,L,154.5,O
10,"Jan 8, 2020",NWST,72,INCAR,66,W,1.5,W,142.0,U
11,"Jan 5, 2020",HOUBPT,79,NWST,106,W,-2.5,W,173.0,O
12,"Jan 2, 2020",NWST,62,TEXCC,67,L,-6.5,W,131.5,U
13,"Dec 29, 2019",CHMBAP,61,NWST,101,W,0.0,,0.0,
14,"Dec 21, 2019",LAMAR,61,NWST,67,W,7.5,W,140.5,U
15,"Dec 18, 2019",NWST,79,SAMHO,92,L,-18.0,W,145.5,O
16,"Dec 8, 2019",NWST,59,LSU,109,L,-30.5,L,147.5,O
17,"Dec 3, 2019",NWST,51,SMU,77,L,-24.0,L,135.0,U
18,"Nov 26, 2019",NWST,69,ULMON,77,L,-14.0,W,132.5,O
19,"Nov 19, 2019",LACOL,60,NWST,67,W,0.0,,0.0,
20,"Nov 16, 2019",NWST,52,TULAN,79,L,-13.5,L,144.0,U
21,"Nov 12, 2019",RICE,80,NWST,74,L,6.5,W,146.0,O
22,"Nov 6, 2019",NWST,63,TEXAM,77,L,-27.0,W,143.5,U
23,"Nov 5, 2019",CENTY,57,NWST,84,W,0.0,,0.0,
24,"Mar 9, 2019",C.ARK,70,NWST,63,L,2.0,L,147.0,U
25,"Mar 6, 2019",NWST,60,NICHL,83,L,-6.0,L,144.5,U
26,"Mar 2, 2019",NWST,55,SELA,69,L,-11.5,L,134.5,U
27,"Feb 27, 2019",INCAR,60,NWST,68,W,-5.5,W,138.5,U
28,"Feb 20, 2019",NWST,54,HOUBPT,92,L,-7.5,L,154.0,U
29,"Feb 16, 2019",SFA,72,NWST,87,W,3.0,W,140.0,O
