,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",NWEST,67,MARYL,76,L,-14.0,W,130.5,O
1,"Feb 15, 2020",NWEST,61,PENST,77,L,-12.0,L,139.0,U
2,"Feb 12, 2020",MICH,79,NWEST,54,L,5.5,L,137.0,U
3,"Feb 9, 2020",NWEST,73,RUTGR,77,L,-10.5,W,129.0,O
4,"Feb 1, 2020",PURDU,61,NWEST,58,L,5.5,W,125.0,U
5,"Jan 29, 2020",NWEST,50,MICHS,79,L,-17.5,L,138.5,U
6,"Jan 26, 2020",OHIOS,71,NWEST,59,L,6.5,L,131.5,U
7,"Jan 21, 2020",MARYL,77,NWEST,66,L,7.5,L,127.0,O
8,"Jan 18, 2020",NWEST,71,ILL,75,L,-12.5,W,132.5,O
9,"Jan 14, 2020",IOWA,75,NWEST,62,L,5.5,L,141.5,U
10,"Jan 11, 2020",NEBRS,57,NWEST,62,W,-5.5,L,144.5,U
11,"Jan 8, 2020",NWEST,62,INDY,66,L,-13.5,W,138.0,U
12,"Jan 5, 2020",NWEST,68,MINN,77,L,-12.0,W,135.5,O
13,"Dec 29, 2019",HARTF,67,NWEST,66,L,-17.0,L,134.0,U
14,"Dec 21, 2019",NWEST,78,DPAUL,83,L,-5.0,P,136.0,O
15,"Dec 18, 2019",MICHS,77,NWEST,72,L,12.0,W,139.0,O
16,"Dec 15, 2019",SIUED,54,NWEST,72,W,-19.0,L,134.5,U
17,"Dec 8, 2019",NWEST,44,PURDU,58,L,-13.0,L,126.0,U
18,"Dec 3, 2019",NWEST,82,BC,64,W,-3.5,W,132.0,O
19,"Nov 27, 2019",PITT,72,NWEST,59,L,3.0,L,119.0,O
20,"Nov 25, 2019",BRAD,51,NWEST,78,W,3.0,W,128.5,O
21,"Nov 22, 2019",NORFK,59,NWEST,70,W,-13.0,L,126.0,O
22,"Nov 19, 2019",RADFD,67,NWEST,56,L,-5.5,L,128.5,U
23,"Nov 13, 2019",PROV,63,NWEST,72,W,9.0,W,135.0,P
24,"Nov 8, 2019",MERRIM,71,NWEST,61,L,-19.0,L,136.0,U
25,"Mar 13, 2019",NWEST,69,ILL,74,L,-3.5,L,135.0,O
26,"Mar 9, 2019",PURDU,70,NWEST,57,L,7.0,L,134.0,U
27,"Mar 6, 2019",OHIOS,50,NWEST,68,W,-1.5,W,127.0,U
28,"Mar 3, 2019",NWEST,76,ILL,81,L,-5.0,P,136.0,O
29,"Feb 28, 2019",MINN,62,NWEST,50,L,-1.5,L,131.5,U
