,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",UNC,76,ND,77,W,-4.0,L,150.0,O
1,"Feb 15, 2020",ND,60,DUKE,94,L,-12.5,L,151.0,O
2,"Feb 11, 2020",ND,49,VIRGA,50,L,-5.0,W,117.5,U
3,"Feb 9, 2020",ND,61,CLEMS,57,W,2.0,W,138.0,U
4,"Feb 5, 2020",PITT,72,ND,80,W,-6.0,W,138.0,O
5,"Feb 1, 2020",GATEC,72,ND,80,W,-7.0,W,141.5,O
6,"Jan 29, 2020",WAKE,80,ND,90,W,-9.0,W,146.5,O
7,"Jan 25, 2020",ND,84,FLAST,85,L,-9.0,W,142.0,O
8,"Jan 22, 2020",SYRA,84,ND,82,L,-4.0,L,139.0,O
9,"Jan 15, 2020",ND,78,GATEC,74,W,-2.0,W,134.0,O
10,"Jan 11, 2020",LOUIS,67,ND,64,L,3.5,W,136.5,U
11,"Jan 8, 2020",ND,68,NCST,73,L,-2.5,L,147.5,U
12,"Jan 4, 2020",ND,88,SYRA,87,W,-3.0,W,138.5,O
13,"Dec 29, 2019",ALA&M,56,ND,82,W,-27.0,L,142.5,U
14,"Dec 21, 2019",INDY,62,ND,60,L,3.0,W,142.0,U
15,"Dec 14, 2019",UCLA,61,ND,75,W,-6.0,W,137.5,U
16,"Dec 10, 2019",DETRT,71,ND,110,W,-19.5,W,147.0,O
17,"Dec 7, 2019",BC,73,ND,72,L,-12.5,L,133.5,O
18,"Dec 4, 2019",ND,51,MARYL,72,L,-9.5,L,140.5,U
19,"Nov 26, 2019",FDU,66,ND,91,W,-21.5,W,131.0,O
20,"Nov 21, 2019",TOLDO,62,ND,64,W,-8.0,L,141.0,U
21,"Nov 18, 2019",PRESB,53,ND,63,W,-27.0,L,136.5,U
22,"Nov 15, 2019",MARSH,64,ND,74,W,-19.0,L,150.0,U
23,"Nov 12, 2019",HOWRD,50,ND,79,W,-28.5,W,143.5,U
24,"Nov 9, 2019",ROBMO,57,ND,92,W,-21.0,W,135.5,O
25,"Nov 6, 2019",ND,65,UNC,76,L,-9.5,L,146.0,U
26,"Mar 13, 2019",ND,53,LOUIS,75,L,-7.5,L,133.5,U
27,"Mar 12, 2019",ND,78,GATEC,71,W,1.5,W,126.5,O
28,"Mar 9, 2019",ND,53,PITT,56,L,-2.5,L,135.5,U
29,"Mar 6, 2019",CLEMS,64,ND,62,L,4.0,W,133.0,U
