,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",YOUNG,64,OAKLN,72,W,-4.0,W,141.5,U
1,"Feb 13, 2020",CLEST,74,OAKLN,79,W,-8.0,L,131.0,O
2,"Feb 8, 2020",OAKLN,71,WRIGH,83,L,-10.0,L,147.0,O
3,"Feb 6, 2020",OAKLN,70,N.KENT,73,L,-10.0,W,135.0,O
4,"Jan 31, 2020",OAKLN,77,DETRT,64,W,-2.5,W,141.0,P
5,"Jan 25, 2020",IUPUI,89,OAKLN,85,L,-9.0,L,141.5,O
6,"Jan 23, 2020",ILCHI,80,OAKLN,50,L,-4.0,L,134.0,U
7,"Jan 18, 2020",OAKLN,68,WISML,73,L,-1.5,L,134.0,O
8,"Jan 16, 2020",OAKLN,69,WISGB,73,L,-4.0,P,147.0,U
9,"Jan 11, 2020",OAKLN,68,CLEST,55,W,2.5,W,130.5,U
10,"Jan 9, 2020",OAKLN,60,YOUNG,61,L,-2.5,W,136.0,U
11,"Jan 5, 2020",N.KENT,75,OAKLN,64,L,-2.5,L,130.5,O
12,"Jan 3, 2020",WRIGH,96,OAKLN,69,L,3.5,L,140.5,O
13,"Dec 28, 2019",DETRT,69,OAKLN,78,W,-8.5,W,137.0,O
14,"Dec 21, 2019",FAIRF,61,OAKLN,59,L,-5.0,L,121.0,U
15,"Dec 18, 2019",OAKLN,62,SYRA,74,L,-14.0,W,129.0,O
16,"Dec 14, 2019",MICHS,72,OAKLN,49,L,17.0,L,133.0,U
17,"Dec 7, 2019",OAKLN,65,BOWLG,68,L,-6.0,W,134.0,U
18,"Dec 3, 2019",OAKLN,72,WMICH,62,W,1.0,W,126.0,O
19,"Nov 30, 2019",OAKLN,63,TOLDO,65,L,-11.0,W,129.0,U
20,"Nov 25, 2019",OAKLN,50,N.ILL,74,L,-4.5,L,124.5,U
21,"Nov 18, 2019",HARTF,50,OAKLN,60,W,-9.0,W,128.5,U
22,"Nov 16, 2019",OAKLN,50,MARYL,80,L,-19.0,L,135.5,U
23,"Nov 10, 2019",S.ILL,52,OAKLN,61,W,1.5,W,130.5,U
24,"Nov 9, 2019",TEXSA,62,OAKLN,75,W,4.0,W,146.5,U
25,"Nov 8, 2019",OAKLN,53,DELA,56,L,3.0,L,140.5,U
26,"Nov 5, 2019",GOSHEN,66,OAKLN,94,W,0.0,,0.0,
27,"Mar 11, 2019",OAKLN,63,N.KENT,64,L,-5.5,W,152.0,U
28,"Mar 6, 2019",YOUNG,84,OAKLN,88,W,-8.0,L,155.0,O
29,"Mar 2, 2019",IUPUI,63,OAKLN,74,W,-3.5,W,152.0,U
