,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",OHIOS,76,IOWA,85,L,-2.0,L,144.5,O
1,"Feb 15, 2020",PURDU,52,OHIOS,68,W,-5.5,W,128.5,U
2,"Feb 12, 2020",RUTGR,66,OHIOS,72,W,-5.5,W,128.5,O
3,"Feb 9, 2020",OHIOS,57,WISCN,70,L,-1.0,L,123.0,O
4,"Feb 4, 2020",OHIOS,61,MICH,58,W,-3.0,W,134.0,U
5,"Feb 1, 2020",INDY,59,OHIOS,68,W,-7.5,W,131.5,U
6,"Jan 26, 2020",OHIOS,71,NWEST,59,W,6.5,W,131.5,U
7,"Jan 23, 2020",MINN,62,OHIOS,59,L,-8.5,L,134.0,U
8,"Jan 18, 2020",OHIOS,76,PENST,90,L,1.0,L,137.5,O
9,"Jan 14, 2020",NEBRS,68,OHIOS,80,W,-17.5,L,140.0,O
10,"Jan 11, 2020",OHIOS,54,INDY,66,L,2.5,L,133.0,U
11,"Jan 7, 2020",OHIOS,55,MARYL,67,L,-3.0,L,135.0,U
12,"Jan 3, 2020",WISCN,61,OHIOS,57,L,-7.5,L,125.0,U
13,"Dec 29, 2019",W.VA,67,OHIOS,59,L,-6.0,L,136.0,U
14,"Dec 21, 2019",OHIOS,71,KENTY,65,W,3.5,W,130.5,O
15,"Dec 17, 2019",SEMIZ,48,OHIOS,80,W,-29.0,W,135.0,U
16,"Dec 15, 2019",OHIOS,71,MINN,84,L,7.5,L,129.5,O
17,"Dec 7, 2019",PENST,74,OHIOS,106,W,-7.0,W,131.0,O
18,"Dec 4, 2019",OHIOS,74,UNC,49,W,-3.0,W,138.5,U
19,"Nov 29, 2019",MORGN,57,OHIOS,90,W,-27.5,W,130.0,O
20,"Nov 25, 2019",KENT,52,OHIOS,71,W,-17.0,W,129.5,U
21,"Nov 22, 2019",IPFW,46,OHIOS,85,W,-23.0,W,140.5,U
22,"Nov 18, 2019",STETS,51,OHIOS,86,W,-31.5,W,128.0,O
23,"Nov 13, 2019",VILLA,51,OHIOS,76,W,-1.0,W,131.5,U
24,"Nov 10, 2019",LOWELL,56,OHIOS,76,W,-23.0,L,144.5,U
25,"Nov 6, 2019",CINCY,56,OHIOS,64,W,-5.5,W,143.0,U
26,"Mar 24, 2019",OHIOS,59,HOUST,74,L,-6.5,L,132.5,O
27,"Mar 22, 2019",OHIOS,62,IOWAS,59,W,-5.0,W,140.0,U
28,"Mar 15, 2019",OHIOS,70,MICHS,77,L,-11.0,W,134.0,O
29,"Mar 14, 2019",INDY,75,OHIOS,79,W,2.0,W,129.5,O
