,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",CMICH,69,OHIO,77,W,-4.0,W,151.0,U
1,"Feb 15, 2020",OHIO,72,KENT,87,L,-6.0,L,139.0,O
2,"Feb 11, 2020",WMICH,61,OHIO,73,W,-7.0,W,139.0,U
3,"Feb 8, 2020",MIAOH,46,OHIO,77,W,-5.5,W,141.0,U
4,"Feb 1, 2020",OHIO,54,BALL,65,L,-8.5,L,135.5,U
5,"Jan 28, 2020",OHIO,59,N.ILL,61,L,-3.0,W,133.5,U
6,"Jan 25, 2020",AKRON,88,OHIO,86,L,4.5,W,143.5,O
7,"Jan 21, 2020",TOLDO,83,OHIO,74,L,1.0,L,141.0,O
8,"Jan 18, 2020",OHIO,60,EMICH,58,W,0.0,,129.5,U
9,"Jan 14, 2020",OHIO,73,BUFF,76,L,-6.5,W,154.5,U
10,"Jan 11, 2020",BOWLG,83,OHIO,74,L,0.0,L,142.5,O
11,"Jan 7, 2020",EMICH,68,OHIO,74,W,-5.0,W,126.0,O
12,"Jan 4, 2020",OHIO,65,WMICH,77,L,1.5,L,137.0,O
13,"Dec 29, 2019",CAMBP,63,OHIO,55,L,-7.5,L,135.0,U
14,"Dec 21, 2019",MORHD,76,OHIO,82,W,-9.0,L,136.5,O
15,"Dec 17, 2019",PURDU,69,OHIO,51,L,8.0,L,128.0,U
16,"Dec 8, 2019",TNTEC,54,OHIO,81,W,-12.5,W,127.0,O
17,"Dec 4, 2019",RIOGRA,51,OHIO,90,W,0.0,,0.0,
18,"Nov 30, 2019",DETRT,81,OHIO,91,W,-11.5,L,145.5,O
19,"Nov 24, 2019",MIDTN,63,OHIO,75,W,-4.0,W,142.0,U
20,"Nov 22, 2019",OHIO,66,UTAH,80,L,-5.5,L,139.0,O
21,"Nov 21, 2019",OHIO,53,BAYLR,76,L,-14.0,L,133.0,U
22,"Nov 16, 2019",OHIO,54,VILLA,78,L,-19.0,L,131.5,O
23,"Nov 13, 2019",OHIO,81,IONA,72,W,-4.5,W,144.5,O
24,"Nov 9, 2019",HEIDL,50,OHIO,88,W,0.0,,0.0,
25,"Nov 5, 2019",OHIO,65,STBON,53,W,-11.5,W,131.5,U
26,"Mar 11, 2019",OHIO,61,N.ILL,80,L,-3.5,L,139.0,O
27,"Mar 8, 2019",MIAOH,57,OHIO,66,W,-3.0,W,139.0,U
28,"Mar 5, 2019",BUFF,82,OHIO,79,L,12.0,W,158.0,O
29,"Mar 2, 2019",OHIO,73,AKRON,49,W,-9.0,W,131.0,U
