,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",OKST,47,W.VA,65,L,-10.5,L,135.5,U
1,"Feb 15, 2020",TEXTK,70,OKST,73,W,3.0,W,133.0,O
2,"Feb 11, 2020",OKST,64,KANST,59,W,-3.0,W,131.0,U
3,"Feb 8, 2020",OKST,70,BAYLR,78,L,-12.5,W,129.0,O
4,"Feb 5, 2020",TCU,57,OKST,72,W,-3.0,W,129.0,P
5,"Feb 1, 2020",OKST,69,OKLA,82,L,-5.5,L,137.0,O
6,"Jan 27, 2020",KANSA,65,OKST,50,L,7.5,L,136.5,U
7,"Jan 25, 2020",OKST,73,TEXAM,62,W,2.0,W,127.0,O
8,"Jan 21, 2020",OKST,82,IOWAS,89,L,-6.0,L,138.0,O
9,"Jan 18, 2020",BAYLR,75,OKST,68,L,5.5,L,126.5,O
10,"Jan 15, 2020",TEXAS,76,OKST,64,L,-3.5,L,124.5,O
11,"Jan 11, 2020",OKST,40,TCU,52,L,-3.5,L,130.0,U
12,"Jan 6, 2020",W.VA,55,OKST,41,L,0.0,L,137.0,U
13,"Jan 4, 2020",OKST,50,TEXTK,85,L,-5.5,L,130.0,O
14,"Dec 29, 2019",SELA,31,OKST,82,W,-26.5,W,142.5,U
15,"Dec 21, 2019",MINN,86,OKST,66,L,-4.0,L,134.0,O
16,"Dec 15, 2019",OKST,61,HOUST,55,W,-7.0,W,140.5,U
17,"Dec 8, 2019",WICHI,80,OKST,61,L,-3.5,L,135.0,O
18,"Dec 4, 2019",GTOWN,81,OKST,74,L,-11.0,L,144.0,O
19,"Nov 29, 2019",MISS,37,OKST,78,W,1.0,W,139.5,U
20,"Nov 27, 2019",OKST,86,SYRA,72,W,-2.0,W,125.0,O
21,"Nov 22, 2019",WMICH,63,OKST,70,W,-18.5,L,142.0,U
22,"Nov 17, 2019",YALE,57,OKST,64,W,-13.0,L,138.0,U
23,"Nov 13, 2019",OKST,73,COLCH,54,W,4.0,W,141.0,U
24,"Nov 9, 2019",UMKC,51,OKST,69,W,-16.5,W,138.5,U
25,"Nov 6, 2019",ORALR,75,OKST,80,W,-15.5,L,153.5,O
26,"Mar 13, 2019",OKST,70,TCU,73,L,-4.0,W,138.0,O
27,"Mar 9, 2019",W.VA,77,OKST,85,W,-4.5,W,146.5,O
28,"Mar 6, 2019",OKST,67,BAYLR,64,W,-9.0,W,136.5,U
29,"Mar 2, 2019",KANSA,72,OKST,67,L,6.5,W,137.5,O
