,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",OLDDO,47,N.TEX,64,L,-7.5,L,128.0,U
1,"Feb 13, 2020",OLDDO,73,RICE,70,W,-1.0,W,141.0,O
2,"Feb 8, 2020",UTEP,53,OLDDO,72,W,-4.0,W,127.0,U
3,"Feb 6, 2020",TEXSA,85,OLDDO,81,L,-6.0,L,142.0,O
4,"Feb 1, 2020",OLDDO,73,LATEC,76,L,-11.0,W,127.0,O
5,"Jan 30, 2020",OLDDO,68,S.MISS,58,W,2.0,W,128.0,U
6,"Jan 25, 2020",FLAAT,55,OLDDO,65,W,-3.0,W,130.0,U
7,"Jan 23, 2020",FLAIN,83,OLDDO,80,L,-5.0,L,139.0,O
8,"Jan 20, 2020",CHARL,62,OLDDO,66,W,-4.5,L,117.5,O
9,"Jan 18, 2020",OLDDO,67,MARSH,68,L,-4.5,W,135.0,P
10,"Jan 16, 2020",OLDDO,69,W.KEN,71,L,-5.0,W,128.0,O
11,"Jan 11, 2020",OLDDO,47,CHARL,53,L,-2.5,L,116.5,U
12,"Jan 4, 2020",UAB,52,OLDDO,58,W,-5.0,W,116.5,U
13,"Jan 2, 2020",MIDTN,60,OLDDO,70,W,-8.5,W,130.0,P
14,"Dec 22, 2019",MD-ES,52,OLDDO,76,W,-21.5,W,118.5,O
15,"Dec 18, 2019",RICHM,62,OLDDO,59,L,4.0,W,132.0,U
16,"Dec 14, 2019",OLDDO,55,ILL,69,L,-14.0,P,131.0,U
17,"Dec 7, 2019",OLDDO,57,VACOM,69,L,-13.5,W,128.5,U
18,"Dec 3, 2019",OLDDO,46,W&M,63,L,2.5,L,131.0,U
19,"Nov 27, 2019",LOYCH,68,OLDDO,61,L,4.0,L,118.0,O
20,"Nov 26, 2019",OLDDO,50,WASST,66,L,2.5,L,128.5,U
21,"Nov 25, 2019",GMASN,60,OLDDO,53,L,-4.5,L,127.0,U
22,"Nov 20, 2019",JMU,80,OLDDO,78,L,-11.5,L,137.5,O
23,"Nov 16, 2019",OLDDO,76,NEAST,69,W,-3.5,W,134.0,O
24,"Nov 13, 2019",LOYMD,53,OLDDO,62,W,-9.5,L,139.5,U
25,"Nov 10, 2019",STJOE,69,OLDDO,82,W,-6.5,W,134.5,O
26,"Nov 5, 2019",OLDDO,53,NIOWA,58,L,-4.5,L,122.0,U
27,"Mar 21, 2019",OLDDO,48,PURDU,61,L,-12.5,L,126.5,U
28,"Mar 16, 2019",W.KEN,56,OLDDO,62,W,2.5,W,123.0,U
29,"Mar 15, 2019",UAB,59,OLDDO,61,W,-3.5,L,124.0,U
