,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SDKOTA,80,ORALR,94,W,-3.0,W,159.0,O
1,"Feb 12, 2020",NEBOM,78,ORALR,81,W,-6.5,L,156.0,O
2,"Feb 8, 2020",ORALR,76,ND.ST,83,L,-7.0,P,144.5,O
3,"Feb 6, 2020",ORALR,68,NDAKOT,74,L,2.0,L,153.5,U
4,"Feb 1, 2020",DENVR,77,ORALR,86,W,-15.0,L,155.0,O
5,"Jan 29, 2020",SD.ST,76,ORALR,61,L,-4.5,L,154.5,U
6,"Jan 25, 2020",ORALR,80,SDKOTA,91,L,-2.0,L,152.0,O
7,"Jan 18, 2020",ORALR,92,IPFW,68,W,2.0,W,148.0,O
8,"Jan 16, 2020",ORALR,87,W.ILL,70,W,7.5,W,161.0,U
9,"Jan 11, 2020",NDAKOT,73,ORALR,88,W,-8.0,W,152.0,O
10,"Jan 9, 2020",ND.ST,73,ORALR,79,W,-3.5,W,144.5,O
11,"Jan 4, 2020",ORALR,67,NEBOM,74,L,1.0,L,157.5,U
12,"Jan 2, 2020",ORALR,79,SD.ST,96,L,-2.5,L,148.0,O
13,"Dec 28, 2019",ORALR,73,BYU,79,L,-14.0,W,152.5,U
14,"Dec 21, 2019",MIZST,72,ORALR,82,W,-2.0,W,139.0,O
15,"Dec 17, 2019",ORALR,97,CHIST,59,W,16.0,W,157.0,U
16,"Dec 14, 2019",CENOK,57,ORALR,69,W,0.0,,0.0,
17,"Dec 8, 2019",HASKL,55,ORALR,95,W,0.0,,0.0,
18,"Dec 3, 2019",ORALR,60,CREIG,72,L,-14.0,W,155.5,U
19,"Nov 25, 2019",SWCHRT,45,ORALR,99,W,0.0,,0.0,
20,"Nov 23, 2019",ORALR,59,WICHI,68,L,-16.5,W,140.5,U
21,"Nov 19, 2019",ROGST,60,ORALR,73,W,0.0,,0.0,
22,"Nov 15, 2019",ORALR,74,IOWA,87,L,-12.0,L,161.0,P
23,"Nov 12, 2019",ORALR,67,TULSA,74,L,-6.0,L,151.5,U
24,"Nov 8, 2019",HOUBPT,81,ORALR,95,W,-9.0,W,162.5,O
25,"Nov 6, 2019",ORALR,75,OKST,80,L,-15.5,W,153.5,O
26,"Mar 10, 2019",ORALR,73,ND.ST,86,L,-3.0,L,142.0,O
27,"Feb 28, 2019",NEBOM,80,ORALR,84,W,3.0,W,152.0,O
28,"Feb 23, 2019",ORALR,66,W.ILL,75,L,-2.0,L,145.0,U
29,"Feb 16, 2019",ORALR,73,NDAKOT,85,L,-2.5,L,144.0,O
