,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLO,69,OREST,47,L,2.0,L,135.5,U
1,"Feb 13, 2020",UTAH,51,OREST,70,W,-5.0,W,135.0,U
2,"Feb 8, 2020",OREG,53,OREST,63,W,3.5,W,137.5,U
3,"Feb 1, 2020",OREST,67,CAL,69,L,4.0,L,129.5,O
4,"Jan 30, 2020",OREST,68,STANF,63,W,-6.0,W,128.5,O
5,"Jan 25, 2020",USC,75,OREST,55,L,-3.5,L,142.0,U
6,"Jan 23, 2020",UCLA,62,OREST,58,L,-8.0,L,134.0,U
7,"Jan 18, 2020",OREST,76,WASST,89,L,3.5,L,139.0,O
8,"Jan 16, 2020",OREST,56,WASH,64,L,-3.5,L,136.0,U
9,"Jan 12, 2020",ARIZ,65,OREST,82,W,4.0,W,143.0,O
10,"Jan 9, 2020",ARZST,82,OREST,76,L,-6.0,L,144.5,O
11,"Jan 5, 2020",OREST,76,COLO,68,W,-7.0,W,139.0,O
12,"Jan 2, 2020",OREST,69,UTAH,81,L,-2.0,L,143.5,O
13,"Dec 29, 2019",NDAKOT,66,OREST,83,W,-14.5,W,141.5,O
14,"Dec 21, 2019",OREST,49,TEXAM,64,L,6.5,L,132.0,U
15,"Dec 18, 2019",OREST,88,TEXSA,78,W,9.5,W,149.5,O
16,"Dec 14, 2019",ARKPB,46,OREST,80,W,-27.0,W,128.5,U
17,"Dec 1, 2019",PORST,76,OREST,81,W,-16.0,L,148.5,O
18,"Nov 27, 2019",SJ.ST,48,OREST,83,W,-20.5,W,142.5,U
19,"Nov 23, 2019",GRAMB,58,OREST,80,W,-21.0,W,146.5,U
20,"Nov 20, 2019",SABAR,67,OREST,78,W,-9.5,W,141.0,O
21,"Nov 16, 2019",OREST,83,WYOM,63,W,11.0,W,120.5,O
22,"Nov 12, 2019",OKLA,77,OREST,69,L,3.0,L,140.5,O
23,"Nov 9, 2019",IOWAS,74,OREST,80,W,-2.5,W,146.5,O
24,"Nov 5, 2019",CSNOR,67,OREST,87,W,-13.0,W,152.5,O
25,"Mar 14, 2019",COLO,73,OREST,58,L,-2.5,L,138.5,U
26,"Mar 9, 2019",OREST,85,WASST,77,W,6.0,W,152.0,O
27,"Mar 6, 2019",OREST,76,WASH,81,L,-6.5,W,132.0,O
28,"Mar 3, 2019",ARZST,74,OREST,71,L,-4.0,L,147.0,U
29,"Feb 28, 2019",ARIZ,74,OREST,72,L,-4.5,L,136.0,O
