,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",UTAH,62,OREG,80,W,-12.5,W,136.5,O
1,"Feb 13, 2020",COLO,60,OREG,68,W,-5.0,W,135.5,U
2,"Feb 8, 2020",OREG,53,OREST,63,L,3.5,L,137.5,U
3,"Feb 1, 2020",OREG,60,STANF,70,L,2.5,L,133.0,U
4,"Jan 30, 2020",OREG,77,CAL,72,W,10.5,L,129.0,O
5,"Jan 26, 2020",UCLA,75,OREG,96,W,-11.5,W,131.0,O
6,"Jan 23, 2020",USC,70,OREG,79,W,-10.0,L,139.0,O
7,"Jan 18, 2020",OREG,64,WASH,61,W,2.5,W,129.5,U
8,"Jan 16, 2020",OREG,61,WASST,72,L,9.5,L,139.5,U
9,"Jan 11, 2020",ARZST,69,OREG,78,W,-10.5,L,142.0,O
10,"Jan 9, 2020",ARIZ,73,OREG,74,W,-3.0,L,141.0,O
11,"Jan 4, 2020",OREG,69,UTAH,64,W,4.5,W,144.5,U
12,"Jan 2, 2020",OREG,65,COLO,74,L,-1.5,L,136.5,O
13,"Dec 29, 2019",ALAST,59,OREG,98,W,-30.5,W,137.0,O
14,"Dec 21, 2019",TEXSO,78,OREG,84,W,-27.5,L,146.5,O
15,"Dec 18, 2019",MONTA,48,OREG,81,W,-18.5,W,132.5,U
16,"Dec 14, 2019",OREG,71,MICH,70,W,-3.5,W,138.5,O
17,"Dec 7, 2019",HAWAI,64,OREG,89,W,-17.5,W,136.0,O
18,"Nov 29, 2019",UNC,78,OREG,74,L,-2.0,L,142.0,O
19,"Nov 28, 2019",GONZG,73,OREG,72,L,4.0,W,144.0,O
20,"Nov 27, 2019",SETON,69,OREG,71,W,-1.0,W,140.0,P
21,"Nov 22, 2019",HOUST,66,OREG,78,W,-7.0,W,136.0,O
22,"Nov 17, 2019",TEXAR,47,OREG,67,W,-15.5,W,139.0,U
23,"Nov 12, 2019",MEMPH,74,OREG,82,W,-4.0,W,145.5,O
24,"Nov 9, 2019",BOISE,75,OREG,106,W,-10.5,W,136.5,O
25,"Nov 5, 2019",FRSNO,57,OREG,71,W,-14.5,L,137.5,U
26,"Mar 28, 2019",OREG,49,VIRGA,53,L,-8.5,W,119.0,U
27,"Mar 24, 2019",UCI,54,OREG,73,W,-4.5,W,127.0,P
28,"Mar 22, 2019",OREG,72,WISCN,54,W,-1.5,W,117.0,O
29,"Mar 16, 2019",OREG,68,WASH,48,W,2.0,W,121.0,U
