,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",PACIF,63,STMAR,71,L,-10.5,W,128.0,O
1,"Feb 13, 2020",PORTL,55,PACIF,75,W,-12.0,W,130.5,U
2,"Feb 8, 2020",PEPPR,78,PACIF,79,W,-3.0,L,141.5,O
3,"Feb 6, 2020",PACIF,60,SF,48,W,-7.5,W,134.0,U
4,"Feb 1, 2020",SD,58,PACIF,66,W,-9.5,L,129.0,U
5,"Jan 30, 2020",LOYMA,50,PACIF,62,W,-6.5,W,125.0,U
6,"Jan 25, 2020",PACIF,59,GONZG,92,L,-22.5,L,143.5,O
7,"Jan 23, 2020",BYU,74,PACIF,60,L,6.0,L,136.5,U
8,"Jan 18, 2020",PACIF,80,SACLA,84,L,-3.5,L,132.5,O
9,"Jan 16, 2020",PACIF,65,PORTL,55,W,5.5,W,128.5,U
10,"Jan 11, 2020",SF,79,PACIF,75,L,-1.0,L,134.5,O
11,"Jan 4, 2020",STMAR,99,PACIF,107,W,8.0,W,126.0,O
12,"Jan 2, 2020",PACIF,59,PEPPR,56,W,-4.0,W,139.0,U
13,"Dec 28, 2019",PACIF,56,UCI,69,L,-6.0,L,128.0,U
14,"Dec 21, 2019",ID.ST,66,PACIF,77,W,-11.5,L,127.5,O
15,"Dec 18, 2019",PACIF,74,UNLV,66,W,-3.5,W,122.5,O
16,"Dec 15, 2019",CSNOR,73,PACIF,79,W,-7.5,L,132.0,O
17,"Dec 7, 2019",PACIF,65,LONGB,46,W,-1.0,W,134.0,U
18,"Dec 4, 2019",FULLR,59,PACIF,62,W,-9.5,L,121.0,P
19,"Nov 29, 2019",LONGW,51,PACIF,69,W,-10.0,W,128.5,U
20,"Nov 26, 2019",SIUED,50,PACIF,78,W,-11.5,W,123.5,O
21,"Nov 23, 2019",BOISE,82,PACIF,76,L,3.0,L,131.5,O
22,"Nov 19, 2019",COPIN,60,PACIF,64,W,-13.5,L,135.5,U
23,"Nov 17, 2019",UCRIV,51,PACIF,58,W,-7.0,P,115.0,U
24,"Nov 14, 2019",PACUNI,48,PACIF,86,W,0.0,,0.0,
25,"Nov 12, 2019",PACIF,67,HAWAI,72,L,-4.5,L,130.5,O
26,"Nov 10, 2019",PACIF,76,FLA&M,54,W,9.5,W,126.0,O
27,"Nov 8, 2019",SDKOTA,72,PACIF,62,L,5.5,L,133.5,O
28,"Nov 5, 2019",CSSTA,47,PACIF,69,W,0.0,,0.0,
29,"Mar 7, 2019",PACIF,53,PEPPR,61,L,-1.5,L,139.5,U
