,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",ILL,62,PENST,56,L,-5.5,L,143.0,U
1,"Feb 15, 2020",NWEST,61,PENST,77,W,-12.0,W,139.0,U
2,"Feb 11, 2020",PENST,88,PURDU,76,W,-5.5,W,136.5,O
3,"Feb 8, 2020",MINN,77,PENST,83,W,-6.0,P,138.5,O
4,"Feb 4, 2020",PENST,75,MICHS,70,W,-8.5,W,145.5,U
5,"Feb 1, 2020",PENST,76,NEBRS,64,W,8.5,W,151.5,U
6,"Jan 29, 2020",INDY,49,PENST,64,W,-6.0,W,143.0,U
7,"Jan 22, 2020",PENST,72,MICH,63,W,-4.5,W,147.5,U
8,"Jan 18, 2020",OHIOS,76,PENST,90,W,1.0,W,137.5,O
9,"Jan 15, 2020",PENST,69,MINN,75,L,-2.5,L,143.0,O
10,"Jan 11, 2020",WISCN,58,PENST,49,L,-4.5,L,132.5,U
11,"Jan 7, 2020",PENST,61,RUTGR,72,L,1.5,L,139.5,U
12,"Jan 4, 2020",IOWA,86,PENST,89,W,-3.0,P,153.5,O
13,"Dec 29, 2019",CORNL,59,PENST,90,W,-22.0,W,139.0,O
14,"Dec 20, 2019",CCONN,58,PENST,87,W,-35.5,L,142.5,O
15,"Dec 14, 2019",ALA,71,PENST,73,W,-11.5,L,154.0,U
16,"Dec 10, 2019",MARYL,69,PENST,76,W,-2.0,W,143.0,O
17,"Dec 7, 2019",PENST,74,OHIOS,106,L,-7.0,L,131.0,O
18,"Dec 4, 2019",WAKE,54,PENST,76,W,-12.0,W,145.0,U
19,"Nov 29, 2019",PENST,85,SYRA,64,W,2.5,W,135.0,O
20,"Nov 27, 2019",MISS,74,PENST,72,L,-2.5,L,133.5,O
21,"Nov 23, 2019",YALE,56,PENST,58,W,-15.0,L,142.0,U
22,"Nov 19, 2019",BUCKN,70,PENST,98,W,-15.0,W,147.0,O
23,"Nov 14, 2019",PENST,81,GTOWN,66,W,-2.5,W,150.0,U
24,"Nov 9, 2019",WAGNR,64,PENST,91,W,-25.5,W,135.0,O
25,"Nov 5, 2019",MD-ES,46,PENST,84,W,-31.5,W,134.5,U
26,"Mar 14, 2019",PENST,72,MINN,77,L,3.0,L,135.5,O
27,"Mar 10, 2019",ILL,56,PENST,72,W,-8.0,W,148.0,U
28,"Mar 6, 2019",PENST,66,RUTGR,65,W,1.5,L,136.0,U
29,"Mar 2, 2019",PENST,57,WISCN,61,L,-6.5,W,131.0,U
