,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",YALE,61,PENN,69,W,5.0,W,139.0,U
1,"Feb 14, 2020",BROWN,75,PENN,63,L,-7.0,L,144.0,U
2,"Feb 9, 2020",PENN,79,CORNL,73,W,5.0,W,137.5,O
3,"Feb 8, 2020",PENN,76,COLUM,67,W,5.0,W,138.0,O
4,"Feb 1, 2020",DART,46,PENN,54,W,-7.5,W,133.5,U
5,"Jan 31, 2020",HARVD,72,PENN,75,W,1.5,W,143.0,O
6,"Jan 25, 2020",TEMPL,59,PENN,66,W,1.0,W,143.5,U
7,"Jan 18, 2020",STJOE,87,PENN,81,L,-9.0,L,153.0,O
8,"Jan 10, 2020",PENN,58,PRNCE,63,L,1.0,L,144.5,U
9,"Jan 4, 2020",PRNCE,78,PENN,64,L,-7.0,L,146.5,U
10,"Dec 30, 2019",PENN,81,HOWRD,62,W,18.5,W,153.0,U
11,"Dec 21, 2019",WIDEN,57,PENN,105,W,0.0,,0.0,
12,"Dec 4, 2019",PENN,69,VILLA,80,L,-13.0,W,152.5,U
13,"Dec 1, 2019",LONGB,79,PENN,95,W,-9.5,W,151.5,O
14,"Nov 29, 2019",PENN,82,ARIZ,92,L,-11.5,W,146.5,O
15,"Nov 28, 2019",UCF,67,PENN,68,W,-3.0,L,141.5,U
16,"Nov 23, 2019",PENN,81,PROV,75,W,-15.0,W,147.0,O
17,"Nov 19, 2019",PENN,75,LAFAY,86,L,7.0,L,143.0,O
18,"Nov 13, 2019",LASAL,59,PENN,75,W,-8.5,W,140.0,U
19,"Nov 9, 2019",PENN,61,RICE,80,L,6.5,L,147.5,U
20,"Nov 5, 2019",PENN,81,ALA,80,W,-7.5,W,152.5,O
21,"Mar 16, 2019",PENN,58,HARVD,66,L,1.5,L,134.5,U
22,"Mar 9, 2019",BROWN,51,PENN,58,W,-6.0,W,138.5,U
23,"Mar 8, 2019",YALE,66,PENN,77,W,0.0,W,148.0,U
24,"Mar 2, 2019",PENN,65,DART,51,W,2.0,W,140.5,U
25,"Mar 1, 2019",PENN,53,HARVD,59,L,-5.0,L,140.0,U
26,"Feb 23, 2019",CORNL,50,PENN,68,W,-7.5,W,143.5,U
27,"Feb 22, 2019",COLUM,79,PENN,77,L,-7.5,L,141.0,O
28,"Feb 16, 2019",HARVD,75,PENN,68,L,-1.5,L,138.0,O
29,"Feb 15, 2019",DART,79,PENN,82,W,-8.0,L,145.5,O
