,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",GONZG,89,PEPPR,77,L,15.0,W,164.0,O
1,"Feb 13, 2020",SD,69,PEPPR,72,W,-9.0,L,146.5,U
2,"Feb 8, 2020",PEPPR,78,PACIF,79,L,-3.0,W,141.5,O
3,"Feb 6, 2020",SACLA,77,PEPPR,91,W,-3.0,W,156.5,O
4,"Feb 1, 2020",PEPPR,68,LOYMA,67,W,3.0,L,143.5,U
5,"Jan 30, 2020",PEPPR,80,BYU,107,L,-13.0,L,155.5,O
6,"Jan 25, 2020",PORTL,69,PEPPR,80,W,-11.5,L,149.0,P
7,"Jan 23, 2020",PEPPR,90,SACLA,86,W,-4.0,W,155.0,O
8,"Jan 18, 2020",STMAR,78,PEPPR,69,L,6.5,L,145.5,O
9,"Jan 16, 2020",LOYMA,67,PEPPR,75,W,-7.0,W,141.5,O
10,"Jan 11, 2020",PEPPR,85,SD,78,W,2.0,W,143.5,O
11,"Jan 4, 2020",PEPPR,70,GONZG,75,L,-20.5,W,162.0,U
12,"Jan 2, 2020",PACIF,59,PEPPR,56,L,-4.0,L,139.0,U
13,"Dec 28, 2019",PEPPR,68,SJ.ST,83,L,10.0,L,157.0,U
14,"Dec 21, 2019",NARIZ,73,PEPPR,75,W,-9.5,L,153.0,U
15,"Dec 17, 2019",PORST,71,PEPPR,77,W,-8.0,L,163.0,U
16,"Dec 14, 2019",C.ARK,79,PEPPR,92,W,-14.0,L,163.0,O
17,"Dec 6, 2019",ID.ST,65,PEPPR,77,W,-12.5,L,149.0,U
18,"Dec 1, 2019",PROV,80,PEPPR,77,L,7.5,W,148.5,O
19,"Nov 29, 2019",UCF,78,PEPPR,65,L,1.5,L,149.5,U
20,"Nov 28, 2019",PEPPR,91,ARIZ,93,L,-15.5,W,152.5,O
21,"Nov 23, 2019",SACRA,77,PEPPR,72,L,-9.5,L,142.5,O
22,"Nov 19, 2019",PEPPR,84,USC,91,L,-11.5,W,150.5,O
23,"Nov 16, 2019",PEPPR,73,ABILE,69,W,5.5,L,147.0,U
24,"Nov 12, 2019",PEPPR,94,CSNOR,82,W,6.0,W,156.0,O
25,"Nov 9, 2019",UCI,73,PEPPR,77,W,-1.0,W,147.5,O
26,"Nov 5, 2019",PEPPR,71,CAL,87,L,2.0,L,144.5,O
27,"Mar 11, 2019",PEPPR,74,GONZG,100,L,-24.5,L,156.5,O
28,"Mar 9, 2019",PEPPR,89,SF,72,W,-8.0,W,145.5,O
29,"Mar 8, 2019",PEPPR,68,LOYMA,65,W,-4.5,W,137.0,U
