,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",PITT,67,FLAST,82,L,-11.0,L,135.5,O
1,"Feb 15, 2020",PITT,57,VATEC,67,L,-3.5,L,128.0,U
2,"Feb 12, 2020",CLEMS,72,PITT,52,L,-3.5,L,124.5,U
3,"Feb 8, 2020",GATEC,64,PITT,73,W,-2.0,W,130.5,O
4,"Feb 5, 2020",PITT,72,ND,80,L,-6.0,L,138.0,O
5,"Feb 2, 2020",MIAMI,57,PITT,62,W,-7.5,L,135.5,U
6,"Jan 28, 2020",PITT,67,DUKE,79,L,-16.5,W,135.0,O
7,"Jan 25, 2020",PITT,61,SYRA,69,L,-6.0,L,131.0,U
8,"Jan 22, 2020",BC,72,PITT,74,W,-11.0,L,127.0,O
9,"Jan 18, 2020",UNC,52,PITT,66,W,-3.0,W,137.0,U
10,"Jan 14, 2020",LOUIS,73,PITT,68,L,6.0,W,128.0,O
11,"Jan 12, 2020",PITT,58,MIAMI,66,L,-2.5,L,137.5,U
12,"Jan 8, 2020",PITT,73,UNC,65,W,-5.0,W,137.5,O
13,"Jan 4, 2020",WAKE,69,PITT,65,L,-6.5,L,134.0,P
14,"Dec 30, 2019",CANIS,79,PITT,87,W,-14.5,L,129.5,O
15,"Dec 20, 2019",BINGH,53,PITT,79,W,-18.5,W,132.5,U
16,"Dec 16, 2019",N.ILL,50,PITT,59,W,-11.0,L,125.5,U
17,"Dec 6, 2019",PITT,46,LOUIS,64,L,-12.5,L,129.5,U
18,"Dec 3, 2019",RUTGR,60,PITT,71,W,-2.5,W,128.0,O
19,"Nov 27, 2019",PITT,72,NWEST,59,W,3.0,W,119.0,O
20,"Nov 25, 2019",KANST,59,PITT,63,W,2.5,W,117.0,O
21,"Nov 21, 2019",ARKPB,41,PITT,66,W,-23.0,W,124.5,U
22,"Nov 18, 2019",MONMO,50,PITT,63,W,-15.5,L,133.5,U
23,"Nov 15, 2019",W.VA,68,PITT,53,L,2.5,L,139.5,U
24,"Nov 12, 2019",PITT,71,ROBMO,57,W,11.0,W,133.0,U
25,"Nov 9, 2019",NICHL,75,PITT,70,L,-18.5,L,139.0,O
26,"Nov 6, 2019",FLAST,61,PITT,63,W,4.0,W,144.0,U
27,"Mar 13, 2019",PITT,59,SYRA,73,L,-5.5,L,126.5,O
28,"Mar 12, 2019",PITT,80,BC,70,W,0.0,W,134.5,O
29,"Mar 9, 2019",ND,53,PITT,56,W,-2.5,W,135.5,U
