,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",IDAHO,69,PORST,90,W,-10.0,W,148.5,O
1,"Feb 15, 2020",EWASH,89,PORST,81,L,-2.0,L,161.5,O
2,"Feb 10, 2020",PORST,83,NCOLO,71,W,-9.0,W,148.0,O
3,"Feb 8, 2020",PORST,57,SUTAH,85,L,-6.0,L,148.0,U
4,"Jan 30, 2020",MONTA,81,PORST,88,W,-1.0,W,148.5,O
5,"Jan 25, 2020",PORST,82,NARIZ,84,L,-3.5,W,149.0,O
6,"Jan 23, 2020",PORST,55,SACRA,66,L,-5.0,L,137.0,U
7,"Jan 20, 2020",WEBER,76,PORST,92,W,-3.5,W,145.5,O
8,"Jan 18, 2020",ID.ST,76,PORST,82,W,-8.0,L,142.5,O
9,"Jan 13, 2020",PORST,70,MONTA,85,L,-6.5,L,143.5,O
10,"Jan 11, 2020",PORST,77,MONST,76,W,-1.5,W,144.5,O
11,"Jan 4, 2020",PORST,69,EWASH,71,L,-6.5,W,164.0,U
12,"Jan 2, 2020",PORST,61,IDAHO,72,L,6.5,L,148.5,U
13,"Dec 30, 2019",SUTAH,83,PORST,81,L,-3.0,L,146.0,O
14,"Dec 28, 2019",NCOLO,65,PORST,69,W,0.0,W,148.0,U
15,"Dec 19, 2019",PORST,76,LOYMA,66,W,-3.5,W,144.0,U
16,"Dec 17, 2019",PORST,71,PEPPR,77,L,-8.0,W,163.0,U
17,"Dec 12, 2019",PORTBI,48,PORST,101,W,0.0,,0.0,
18,"Dec 6, 2019",CSNOR,67,PORST,73,W,-7.5,L,158.5,U
19,"Dec 1, 2019",PORST,76,OREST,81,L,-16.0,W,148.5,O
20,"Nov 27, 2019",PORST,70,SABAR,81,L,-8.5,L,151.0,P
21,"Nov 26, 2019",GRAMB,74,PORST,84,W,-7.0,W,154.0,O
22,"Nov 23, 2019",PORST,91,SJ.ST,76,W,3.0,W,149.5,O
23,"Nov 20, 2019",PORTL,82,PORST,75,L,-6.5,L,143.5,O
24,"Nov 16, 2019",PORST,75,HAWAI,83,L,-5.5,L,145.0,O
25,"Nov 9, 2019",PORST,74,INDY,85,L,-19.5,W,152.5,O
26,"Nov 5, 2019",PUGET,69,PORST,94,W,0.0,,0.0,
27,"Mar 14, 2019",PORST,71,WEBER,81,L,-3.5,L,156.0,U
28,"Mar 9, 2019",MONST,80,PORST,84,W,-2.5,W,163.5,O
29,"Mar 7, 2019",MONTA,69,PORST,81,W,5.5,W,149.0,O
