,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 13, 2020",PORTL,55,PACIF,75,L,-12.0,L,130.5,U
1,"Feb 8, 2020",PORTL,81,SD,88,L,-7.0,P,136.5,O
2,"Feb 6, 2020",BYU,85,PORTL,54,L,16.5,L,151.0,U
3,"Feb 1, 2020",SACLA,85,PORTL,61,L,6.0,L,144.5,O
4,"Jan 30, 2020",PORTL,64,STMAR,86,L,-19.5,L,136.5,O
5,"Jan 25, 2020",PORTL,69,PEPPR,80,L,-11.5,W,149.0,P
6,"Jan 23, 2020",PORTL,65,LOYMA,77,L,-6.5,L,128.0,O
7,"Jan 18, 2020",SD,77,PORTL,67,L,1.0,L,136.0,O
8,"Jan 16, 2020",PACIF,65,PORTL,55,L,5.5,L,128.5,U
9,"Jan 11, 2020",PORTL,70,BYU,96,L,-18.0,L,138.5,O
10,"Jan 4, 2020",SF,65,PORTL,76,W,10.0,W,144.5,U
11,"Jan 2, 2020",GONZG,85,PORTL,72,L,23.5,W,147.5,O
12,"Dec 25, 2019",PORTL,46,BALL,61,L,-10.5,L,134.0,U
13,"Dec 23, 2019",PORTL,69,BOISE,85,L,-11.0,L,136.5,O
14,"Dec 22, 2019",HOUST,81,PORTL,56,L,18.0,L,135.0,O
15,"Dec 19, 2019",JACKS,73,PORTL,63,L,-6.0,L,132.5,O
16,"Dec 16, 2019",FLA&M,60,PORTL,66,W,-11.5,L,130.0,U
17,"Dec 13, 2019",EVRGR,55,PORTL,77,W,0.0,,0.0,
18,"Dec 7, 2019",PORTL,71,SEATT,73,L,-5.0,W,134.0,O
19,"Dec 4, 2019",CSNOR,71,PORTL,64,L,-5.0,L,142.0,U
20,"Dec 1, 2019",INCAR,56,PORTL,65,W,-14.0,L,133.0,U
21,"Nov 23, 2019",UCDAV,62,PORTL,72,W,-7.0,W,131.5,O
22,"Nov 20, 2019",PORTL,82,PORST,75,W,-6.5,W,143.5,O
23,"Nov 16, 2019",MAINE,62,PORTL,71,W,-7.5,W,127.5,O
24,"Nov 10, 2019",PORTL,72,SJ.ST,57,W,-3.5,W,135.5,U
25,"Nov 8, 2019",PORTL,65,USC,76,L,-22.5,W,143.0,U
26,"Nov 5, 2019",WLMETE,36,PORTL,86,W,0.0,,0.0,
27,"Mar 7, 2019",PORTL,47,SD,67,L,-13.0,L,133.0,U
28,"Mar 2, 2019",SACLA,78,PORTL,62,L,3.5,L,133.5,O
29,"Feb 28, 2019",PORTL,48,STMAR,65,L,-19.5,W,130.5,U
