,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",JACKS,61,PVA&M,70,W,-7.5,W,133.5,U
1,"Feb 15, 2020",GRAMB,69,PVA&M,75,W,-8.5,L,135.5,O
2,"Feb 8, 2020",TEXSO,59,PVA&M,69,W,-4.0,W,144.0,U
3,"Feb 3, 2020",PVA&M,69,ALA&M,54,W,7.0,W,136.0,U
4,"Feb 1, 2020",PVA&M,49,ALAST,52,L,7.0,L,136.0,U
5,"Jan 27, 2020",MSVAL,83,PVA&M,102,W,-21.0,L,152.5,O
6,"Jan 25, 2020",ARKPB,54,PVA&M,67,W,-17.0,L,124.5,U
7,"Jan 20, 2020",PVA&M,74,JACKS,60,W,3.0,W,134.0,P
8,"Jan 18, 2020",PVA&M,64,GRAMB,57,W,1.5,W,139.5,U
9,"Jan 11, 2020",PVA&M,67,TEXSO,71,L,1.0,L,151.5,U
10,"Jan 6, 2020",SUTHR,54,PVA&M,64,W,-10.0,P,140.5,U
11,"Jan 4, 2020",ALCRN,70,PVA&M,84,W,-11.0,W,139.0,O
12,"Dec 30, 2019",HUSTN,77,PVA&M,92,W,0.0,,0.0,
13,"Dec 22, 2019",PVA&M,55,SETON,75,L,-17.5,L,141.0,U
14,"Dec 19, 2019",PVA&M,64,COLO,83,L,-20.0,W,138.5,O
15,"Dec 13, 2019",PVA&M,76,LOYMA,79,L,-6.5,W,135.5,O
16,"Dec 11, 2019",PVA&M,79,ARZST,88,L,-20.5,W,141.5,O
17,"Nov 30, 2019",PVA&M,79,TEXSA,72,W,-8.5,W,147.5,O
18,"Nov 23, 2019",PVA&M,78,C.ARK,72,W,2.0,W,151.5,U
19,"Nov 22, 2019",GAST,83,PVA&M,74,L,7.0,L,149.0,O
20,"Nov 18, 2019",PVA&M,50,CAL,54,L,-15.0,W,138.5,U
21,"Nov 15, 2019",PVA&M,56,TEXAS,70,L,-26.0,W,135.5,U
22,"Nov 12, 2019",PVA&M,48,TEXST,75,L,-11.5,L,143.0,U
23,"Nov 9, 2019",PVA&M,69,UCF,73,L,-16.5,W,141.0,O
24,"Nov 5, 2019",JARVS,62,PVA&M,100,W,0.0,,0.0,
25,"Mar 19, 2019",PVA&M,76,FDU,82,L,-2.0,L,148.5,O
26,"Mar 16, 2019",TEXSO,86,PVA&M,92,W,2.0,W,158.0,O
27,"Mar 15, 2019",GRAMB,71,PVA&M,81,W,-4.5,W,144.0,O
28,"Mar 12, 2019",ALCRN,66,PVA&M,86,W,-16.0,W,138.0,O
29,"Mar 9, 2019",ALCRN,64,PVA&M,98,W,-15.5,W,136.5,O
