,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BROWN,54,PRNCE,73,W,-4.5,W,140.0,U
1,"Feb 14, 2020",YALE,88,PRNCE,64,L,4.0,L,136.0,O
2,"Feb 9, 2020",PRNCE,81,COLUM,74,W,3.0,W,137.0,O
3,"Feb 8, 2020",PRNCE,62,CORNL,73,L,5.5,L,135.5,U
4,"Feb 1, 2020",HARVD,69,PRNCE,70,W,1.5,W,141.5,U
5,"Jan 31, 2020",DART,44,PRNCE,66,W,-6.0,W,132.5,U
6,"Jan 10, 2020",PENN,58,PRNCE,63,W,1.0,W,144.5,U
7,"Jan 4, 2020",PRNCE,78,PENN,64,W,-7.0,W,146.5,U
8,"Dec 29, 2019",LEHIH,62,PRNCE,71,W,-7.5,W,142.5,U
9,"Dec 19, 2019",HOFST,87,PRNCE,72,L,-3.5,L,148.0,O
10,"Dec 17, 2019",IONA,86,PRNCE,90,W,-1.0,W,141.0,O
11,"Dec 14, 2019",PRNCE,80,FDU,65,W,3.0,W,141.0,O
12,"Dec 10, 2019",MONMO,67,PRNCE,66,L,-6.5,L,138.5,U
13,"Dec 4, 2019",PRNCE,76,DREXL,82,L,3.0,L,139.5,O
14,"Nov 30, 2019",PRNCE,87,BUCKN,77,W,-3.5,W,140.5,O
15,"Nov 26, 2019",ARZST,67,PRNCE,65,L,10.0,W,142.0,U
16,"Nov 20, 2019",PRNCE,54,INDY,79,L,-18.5,L,141.5,U
17,"Nov 13, 2019",LAFAY,72,PRNCE,65,L,-6.0,L,145.0,U
18,"Nov 9, 2019",PRNCE,72,SF,82,L,-7.0,L,141.0,O
19,"Nov 5, 2019",PRNCE,67,DUQU,94,L,-5.5,L,142.0,O
20,"Mar 16, 2019",PRNCE,77,YALE,83,L,-10.5,W,139.0,O
21,"Mar 9, 2019",YALE,81,PRNCE,59,L,3.5,L,142.0,U
22,"Mar 8, 2019",BROWN,67,PRNCE,63,L,-3.0,L,138.5,U
23,"Mar 2, 2019",PRNCE,58,HARVD,66,L,-6.5,L,133.5,U
24,"Mar 1, 2019",PRNCE,77,DART,76,W,-1.0,W,137.0,O
25,"Feb 23, 2019",COLUM,61,PRNCE,79,W,-6.5,W,133.5,O
26,"Feb 22, 2019",CORNL,59,PRNCE,68,W,-7.0,W,136.5,U
27,"Feb 16, 2019",DART,68,PRNCE,69,W,-6.0,L,136.5,O
28,"Feb 15, 2019",HARVD,78,PRNCE,69,L,-2.0,L,132.0,O
29,"Feb 9, 2019",PRNCE,70,BROWN,78,L,2.0,L,133.0,O
